,all-heroes,reaper,tracer,mercy,hanzo,torbjorn,reinhardt,pharah,winston,widowmaker,bastion,symmetra,zenyatta,genji,roadhog,cassidy,junkrat,zarya,soldier-76,lucio,dva,mei,sombra,doomfist,ana,orisa,brigitte,moira,wrecking-ball,sojourn,ashe,echo,baptiste,kiriko,junker-queen,sigma,ramattra,mauga,freja,venture,hazard,juno,vendetta,domina,sierra,emre,anran
Tank,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,51,40,38,3,43,12,29,48,23,24,40,6,12,24,25,31,24,31,27,9,33,20,28,30,11,40,13,31,18,27,23,27,15,16,26,43,32,36,,27,28,21,32,33,24,29,9.0
Final Blows - Most in Game,31,29,22,2,27,6,18,30,9,18,25,2,5,12,16,22,13,17,18,2,18,15,19,14,5,20,4,12,10,15,15,22,5,7,15,22,17,20,,15,8,4,20,17,11,17,9.0
All Damage Done - Most in Game,40071,21163,11304,637,21113,6961,17432,26837,10666,7806,34782,5342,10464,10282,21262,14853,13900,21091,14807,3330,26052,31695,11338,13284,5287,26053,3052,9415,7964,14600,12106,16114,4711,7384,14780,40071,18449,23270,847,13375,19786,9001,17115,27006,11106,13527,6699.0
Healing Done - Most in Game,12581,3120,,7486,,,,,,,632,99,3727,42,8480,540,,,1741,4456,2735,2032,1480,1171,9957,643,6307,11138,,,,583,10240,9591,3821,,718,3446,,,2446,6125,,2954,248,1062,
Defensive Assists - Most in Game,25,,,10,,,,,,,,,14,,5,,,14,7,12,,,,,13,,19,24,,,,,22,24,,,,7,,,,,,,,,
Offensive Assists - Most in Game,14,,,8,,,6,,,,,,8,,8,,5,6,,4,,9,10,,12,9,,,,,,,3,10,,,8,12,,,,,,,,,
Objective Kills - Most in Game,30,22,17,2,20,7,15,30,7,14,18,2,4,17,14,19,8,16,14,7,12,11,14,18,7,25,5,17,7,18,12,15,13,10,10,26,21,18,,15,19,6,9,20,14,10,2.0
Objective Time - Most in Game,416,168,130,49,229,98,338,197,155,110,186,21,35,224,317,177,59,389,91,114,179,324,156,287,156,399,40,238,149,151,176,171,195,150,333,366,319,160,,153,200,83,104,257,74,160,33.0
Multikill - Best,5,5,3,,4,,5,4,3,,3,,,3,3,4,4,5,3,,3,3,4,4,,4,,4,3,,4,3,,3,3,4,4,4,,3,3,,3,5,,4,3.0
Solo Kills - Most in Game,31,11,7,,7,,5,6,2,7,6,,,5,3,6,3,2,6,,4,3,8,3,,4,,2,,7,3,7,,,2,4,4,3,,4,,,5,2,4,2,
Time Spent on Fire - Most in Game,98,72,68,22,98,32,79,75,52,62,56,36,28,55,77,54,59,85,52,19,55,55,57,63,92,74,42,56,33,48,76,56,41,78,64,93,61,91,,48,47,23,70,83,49,47,15.0
Melee Final Blows - Most in Game,5,2,3,,2,,,,2,2,,,,2,3,2,,,2,,,2,2,2,,2,,2,2,,,,,,2,5,,,,3,2,,,3,,,
Environmental Kills - Most in Game,4,,,,,,4,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,
Kill Streak - Best,27,23,19,2,21,9,20,17,14,14,16,6,6,9,15,17,7,18,10,5,18,9,23,17,6,19,7,14,16,12,13,17,5,14,13,24,16,18,,11,10,8,9,27,13,10,4.0
Hero Damage Done - Most in Game,22710,14856,10906,537,17068,6961,13920,15577,10478,7464,17569,3862,7514,10272,15808,14150,11858,16293,12383,2270,15815,9959,9559,12469,4297,18280,2982,8583,6058,10203,11824,15930,3881,6544,14033,19259,14401,22710,692,12310,9768,6561,13235,17504,11046,13083,6677.0
Barrier Damage Done - Most in Game,9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,24,,2,10,10,,7,10,7,8,6,2,15,2,9,4,5,15,7,12,14,9,10,10,21,10,16,21,3,4,10,5,21,24,10,10,8,14,,5,3,11,3,3,,,
Objective Contest Time - Most in Game,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,8,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Damage Done - Avg per 10 Min,9330,9564,7099,410,9558,8098,9276,8722,7628,6258,11795,5897,5568,6518,8930,9208,9650,10085,10295,3484,10219,7645,6585,8319,3075,11696,3098,5476,6785,8597,8813,9702,3182,5071,10604,12063,11056,14165,10335,9124,10259,4686,7944,13098,9129,10793,8924.0
