,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Open,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Eliminations - Most in Game,52,23,14,34,16,31,29,30,45,35,39,17,18,12,40,5,38,14,25,35,30,16,30,4,27,21,27,13,21,33,21,35,27,27,21,29,30,17,13,37,52,29,20,38,26,10,28,23,23,11,27,21
Final Blows - Most in Game,31,12,8,22,7,18,11,20,22,18,31,10,8,9,22,,27,9,8,22,25,8,18,3,10,7,11,7,5,10,11,24,17,16,11,23,15,13,8,21,30,19,11,22,18,8,22,13,9,4,11,15
All Damage Done - Most in Game,32453,6568,15937,15669,5273,16827,7077,9871,21406,16692,11877,8281,14424,4275,12660,7280,13541,8933,5452,9831,12182,6011,6771,1275,6138,10970,26954,2527,6471,6675,10350,19531,13823,9426,5436,11082,11708,10362,5258,11379,12404,11734,8582,11202,10361,5433,9945,5537,6826,3195,11161,7249
Healing Done - Most in Game,15336,11869,529,,11328,2681,5234,,587,2434,1073,407,1451,,85,149,,7839,9953,2791,,8073,15336,5925,11704,1199,1946,12508,12078,14182,,,1108,1468,,6516,,,,3010,5004,,,,564,,,,127,4678,,6299
Defensive Assists - Most in Game,34,23,,,22,,,,,,,,,,,,,,26,,,,34,6,25,5,,25,27,21,,,,,,,,,,6,,,,,,,,,,,7,21
Offensive Assists - Most in Game,25,18,,,2,,,8,,,,,,,,,,,3,,4,,13,,8,10,9,12,,,9,,2,,3,9,,,,,16,,,,,,,,,,5,21
