,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hanzo,illari,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4
Eliminations - Most in Game,42,17,10,38,24,23,21,34,35,36,41,7,36,42,16,29,30,12,32,9,25,29,23,9,15,20,14,41,26,23,37,33,30,25,24,32,28,25,26,23,33,38,24,26
Final Blows - Most in Game,30,10,5,17,12,16,9,23,17,24,22,6,22,25,5,19,19,5,13,3,12,16,8,5,8,8,7,17,18,19,24,16,13,20,9,12,13,16,16,17,15,20,13,13
All Damage Done - Most in Game,24043,4391,6644,15119,14118,18333,6128,13516,18244,13410,23324,13212,14090,16102,9215,11376,15398,6653,10523,4507,7969,23323,20478,2103,6099,14450,19374,16689,15474,15423,19530,22150,15128,18140,5302,10619,11435,14990,21010,6139,11142,12753,13886,11140
Healing Done - Most in Game,17774,9563,200,,16926,2512,8413,,19,,951,,,,11110,1521,,6979,16797,6979,9061,4268,681,17774,10196,,,571,1830,,2035,,,2270,1856,11,,,,,,,,8084
Defensive Assists - Most in Game,33,14,,,30,,22,,,,,,,,,,,,27,15,17,16,,23,18,,,,,,,,,6,,,,,,,,,7,33
Offensive Assists - Most in Game,23,14,,,10,,,,,,,,,,3,,4,,13,,10,14,13,21,,13,,10,,8,9,,,,10,,,,,,,,4,23
Objective Kills - Most in Game,25,9,2,12,13,16,8,13,9,18,14,,17,14,6,15,9,6,13,2,11,13,8,2,6,6,5,11,13,11,15,16,15,15,8,6,11,13,10,8,25,25,10,11
