,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,44,35,20,15,19,12,26,25,24,43,22,17,18,30,30,24,16,28,16,18,39,24,19,10,10,24,33,32,11,11,,14,22,17,10,27,21,22,29,27,28,11,23,15,20,16,6,39
Final Blows - Most in Game,31,14,8,8,12,7,16,14,14,29,13,9,10,11,25,13,9,18,8,9,27,7,11,2,5,4,16,13,5,5,,10,10,8,8,22,18,15,12,16,20,7,20,10,12,4,4,23
All Damage Done - Most in Game,19359,13842,11384,8418,11069,7740,6164,10133,11260,17499,11548,16393,9849,14713,11865,7775,5004,9707,9811,10177,10596,9106,7477,7347,2032,6177,10577,10899,6168,7756,,7444,11223,7871,7158,9328,9424,14152,15791,11212,13617,5928,10159,5157,10330,11485,2719,13177
Healing Done - Most in Game,13836,10952,419,,6881,,9585,,733,1240,284,,18,,119,12522,5313,2665,,8830,10626,11328,5444,483,13836,9948,11877,,,357,,,4740,,,958,250,734,,,189,,,,481,10248,,8562
Defensive Assists - Most in Game,34,20,,,12,,25,,,,,,,,,,6,,,,26,23,11,2,18,34,18,,,,,,,,,2,,,,,,,,,,,,28
Offensive Assists - Most in Game,27,19,,,,,,,,,,,,,,5,2,,8,,9,,13,7,27,,,4,,3,,2,9,,,,4,,,,,,,,,,,18
