,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5
Damage,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,44,22,8,38,21,30,17,35,35,33,44,18,20,28,32,43,35,,35,36,21,16,,20,25,13,10,12,17,26,21,37,30,27,36,27,5,24,18,21,14,27,32,13,5,30,30,26,3,24,19
Final Blows - Most in Game,32,8,4,20,15,18,7,21,18,12,29,11,11,17,21,32,26,,14,20,16,9,,9,15,6,4,6,8,16,12,23,18,17,26,20,5,16,12,18,7,10,20,9,3,25,17,15,2,14,11
All Damage Done - Most in Game,30777,6130,5033,18968,8643,19242,3082,15804,13643,23686,22831,8004,22544,14068,15303,26764,15260,95,7669,17066,11085,4489,330,5120,20055,17004,2835,7631,3347,13600,10605,18713,10628,17417,20372,20283,5024,21694,9482,6649,5296,10758,11428,4917,1552,10231,11865,11355,996,17354,7413
Healing Done - Most in Game,14390,7084,509,,7506,2348,2639,185,1771,3811,3299,180,758,473,674,3163,704,504,7284,3444,,9758,611,7766,3279,1246,12594,5679,3208,201,,1366,1702,,11019,,,,1493,778,,,92,265,75,,2330,1839,1384,,7862
Defensive Assists - Most in Game,29,11,,,24,,11,,,,,,,,,,,,14,,,27,,10,8,,28,16,4,,,,,,2,,,,4,,,,,,,,,,,12,14
Offensive Assists - Most in Game,32,20,,,3,,,,,,,,,,,,,,9,,5,6,,8,10,2,32,,,12,,9,,6,10,,,,,4,,,,,,,,,,6,12
Objective Kills - Most in Game,22,9,3,19,11,9,8,17,6,5,13,5,5,8,10,14,19,,10,17,10,7,,9,6,5,2,3,9,9,7,13,13,12,18,9,,7,10,4,9,13,14,4,2,10,12,15,,12,7
Objective Time - Most in Game,271,132,12,152,109,47,89,179,92,72,181,59,46,86,97,161,172,,51,191,75,92,,103,139,54,84,71,47,142,44,160,118,156,263,126,9,34,130,26,46,68,186,44,12,84,129,126,0,165,155
Multikill - Best,8,,,3,4,4,3,4,8,3,5,,5,,4,5,4,,4,5,4,,,,3,,,,3,3,3,3,4,4,4,3,,3,3,3,,,3,3,,3,3,3,,4,3
Solo Kills - Most in Game,32,4,2,9,6,6,2,10,6,2,10,2,,5,9,19,11,,5,4,8,2,,3,4,2,2,,4,2,5,5,6,6,8,4,2,5,4,8,3,5,6,2,2,14,7,7,,3,3
Time Spent on Fire - Most in Game,122,53,15,15,44,47,14,56,49,78,63,45,46,54,86,76,63,,38,122,29,40,,18,69,65,42,29,,54,40,71,43,57,111,63,15,50,38,33,,,36,35,31,83,73,53,13,55,57
Melee Final Blows - Most in Game,6,,,,,,,2,5,,5,,,,6,3,3,,4,3,,,,2,4,,,,,,,,,,6,3,,2,,3,,,2,,,2,5,3,,2,
