,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,63.0,29.0,21.0,26.0,22.0,39.0,19.0,38.0,40.0,9.0,27.0,14.0,28.0,22.0,43.0,19.0,36.0,19.0,28.0,32.0,13.0,19.0,11.0,33.0,17.0,28.0,26.0,,29.0,31.0,41.0,21.0,23.0,36.0,33.0,20.0,5.0,24.0,50.0,37.0,28.0,26.0,42.0,7.0,16.0,33.0,44.0,26.0,38.0,25.0
Final Blows - Most in Game,55.0,13.0,3.0,16.0,11.0,26.0,12.0,28.0,28.0,4.0,21.0,10.0,16.0,15.0,26.0,6.0,29.0,7.0,13.0,25.0,5.0,10.0,3.0,17.0,8.0,18.0,14.0,,16.0,22.0,34.0,14.0,19.0,22.0,22.0,9.0,,11.0,29.0,22.0,25.0,16.0,30.0,4.0,10.0,26.0,32.0,11.0,25.0,21.0
All Damage Done - Most in Game,39682.0,9177.0,8774.0,13475.0,8057.0,22508.0,5765.0,18216.0,21388.0,4529.0,10870.0,10578.0,15629.0,9984.0,15872.0,16796.0,17288.0,9460.0,11768.0,15484.0,3979.0,9288.0,2449.0,10613.0,8449.0,39682.0,9713.0,815.0,7157.0,14726.0,21138.0,10821.0,12363.0,13172.0,14789.0,7935.0,1303.0,9456.0,25846.0,15983.0,8764.0,11569.0,21737.0,1875.0,7165.0,11496.0,15377.0,11729.0,28032.0,9821.0
Healing Done - Most in Game,14924.0,11965.0,200.0,,5678.0,2312.0,6971.0,181.0,10.0,800.0,49.0,179.0,1004.0,,773.0,,74.0,7397.0,2007.0,,4295.0,9044.0,8125.0,6431.0,1912.0,1811.0,14924.0,1070.0,7753.0,,,535.0,994.0,,886.0,,,,2569.0,2732.0,34.0,,87.0,,,24.0,,200.0,,6813.0
Defensive Assists - Most in Game,38.0,26.0,,,15.0,,17.0,,,,,,,,,,,,,,,18.0,21.0,12.0,4.0,,38.0,,15.0,,,,,,,,,,8.0,,,,,,,,,,12.0,23.0
Offensive Assists - Most in Game,21.0,18.0,,,3.0,,,7.0,,,,,,,,,,2.0,,3.0,,8.0,,15.0,5.0,10.0,19.0,,,12.0,,3.0,,4.0,10.0,,,,,14.0,,,,,,,,,10.0,21.0
