,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,46,29,29,23,19,30,20,24,42,35,18,42,35,32,46,39,26,31,36,15,17,21,28,16,34,22,27,7,34,27,36,32,28,28,23,17,29,15,36,23,30,22,23,38,31,25,21,32,22,28,27,31
Final Blows - Most in Game,26,15,12,13,8,20,8,17,19,16,9,21,16,18,26,21,14,16,14,8,11,6,10,8,13,9,15,4,14,7,21,23,13,18,19,9,21,7,21,13,15,10,12,18,21,14,12,13,11,14,13,16
All Damage Done - Most in Game,33504,9187,12744,16588,10488,18015,7052,12449,25437,32607,9501,16984,22209,19905,13433,30550,13087,10205,8420,10171,15926,6851,16588,4926,10459,11473,32754,1490,11951,9832,16548,15474,19851,15821,12046,9516,22577,14414,24001,12377,9398,14494,18198,11426,12622,12746,9089,11619,7317,22756,16775,12561
Healing Done - Most in Game,17454,13971,1116,,12425,536,11582,20,3912,3312,748,918,1620,892,586,3778,160,8550,8141,1912,,10312,17454,11269,12508,1234,1791,8370,12836,11259,296,,873,1827,,6613,,,,2733,743,1418,,285,958,101,,2909,2089,10129,,8360
Defensive Assists - Most in Game,35,27,,,15,,27,,,,,,,,,,,,13,,,,35,23,20,7,,19,35,30,,,,,,,,,,5,,,,,,,,,,,15,26
Offensive Assists - Most in Game,22,16,,,2,,,,,,,,,,,,,6,3,,4,,10,,17,10,10,22,,,12,,9,,2,9,,,,,14,,,,,,,,,,4,19
Objective Kills - Most in Game,24,14,9,11,8,12,8,11,21,16,8,9,12,15,21,16,13,11,9,5,5,6,13,9,11,13,9,3,11,8,18,15,11,24,6,9,13,4,16,8,15,11,10,19,11,9,8,10,12,15,16,13
Objective Time - Most in Game,252,226,64,171,164,52,216,171,160,193,190,84,122,62,125,179,93,96,54,77,25,144,162,137,121,136,109,74,64,53,129,57,165,70,74,137,252,37,140,50,47,54,132,121,86,88,126,206,116,153,134,156
Multikill - Best,8,4,3,4,3,3,5,4,8,4,,4,4,4,4,3,3,3,3,,4,3,4,,3,4,3,,3,4,3,4,5,3,3,,4,3,4,4,5,4,3,5,3,3,3,4,4,4,3,3
Solo Kills - Most in Game,26,3,3,6,2,2,2,5,4,4,,6,4,6,8,2,6,6,2,2,4,,4,2,2,2,3,2,3,3,4,7,5,4,6,3,5,2,7,3,6,,5,8,7,6,5,4,3,3,3,6
Time Spent on Fire - Most in Game,145,80,50,48,62,57,52,71,62,72,26,80,70,47,83,57,62,54,43,39,42,60,68,49,49,39,49,55,55,38,63,81,50,44,59,56,145,38,88,44,57,50,61,52,51,59,64,61,39,71,49,82
Melee Final Blows - Most in Game,5,3,,,,,,,4,2,2,3,,,3,3,,,2,,,,2,,3,2,,,3,,2,,,,,3,3,,,,2,,,5,,,,3,3,,,3
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,2,,,3,,,,,,2,,,,,,3,3,,,2,,,,,,,,,,,,,,,,,
Kill Streak - Best,26,16,8,22,16,18,12,22,26,20,4,22,20,14,16,21,17,18,9,6,11,11,17,13,13,9,24,4,11,19,20,22,17,22,15,13,21,7,24,11,20,15,9,21,18,14,17,23,15,18,16,16
Hero Damage Done - Most in Game,20529,6903,12397,13812,8255,12170,6577,11515,11191,18234,9501,15668,16145,16704,13187,15884,9601,9761,7480,8958,9651,4951,10983,4170,7839,10179,9157,999,9239,8612,16548,12810,11368,8623,11281,8497,20529,9151,17367,10870,8954,11558,11095,9182,12157,10551,8219,9134,6968,10641,13658,10639
Barrier Damage Done - Most in Game,7198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,33,26,,7,14,3,24,4,19,2,3,3,,3,3,6,13,12,9,6,4,20,29,23,26,10,10,30,33,26,12,6,9,,2,9,6,,7,5,14,9,2,2,9,4,9,10,7,30,15,27
Objective Contest Time - Most in Game,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,9,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
Hero Damage Done - Avg per 10 Min,6714,3609,7418,8771,4177,10585,3728,7702,8539,11794,7018,8386,9964,8686,6515,9739,8312,6282,4195,7070,8006,3409,4601,2615,4279,9493,7084,451,5786,7058,10743,9414,10269,6016,8281,8341,12115,9599,8372,7551,6100,7360,8565,6116,7294,7473,6316,7228,6273,6652,9502,6561
Deaths - Avg per 10 Min,5.71,4.24,9.26,5.41,4.81,6.79,6.64,8.22,4.51,4.93,8.87,6.67,6.77,6.03,6.97,5.05,6.28,4.7,4.93,7.82,5.85,5.42,4.95,4.26,6.39,6.37,5.81,5.89,4.92,6.05,4.68,6.64,5.16,5.93,6.31,4.74,3.87,7.63,6.7,7.41,5.88,5.92,5.48,6.84,8.53,6.47,5.7,5.21,5.91,4.04,4.38,5.32
Eliminations - Avg per 10 Min,15.91,11.12,18.51,16.45,12.11,23.43,10.58,14.05,21.3,21.34,16.47,19.26,18.93,14.89,16.99,23.35,16.12,16.87,13.64,10.32,14.12,11.79,12.52,9.0,13.24,18.04,15.04,2.25,16.51,17.4,21.32,20.26,22.63,19.62,19.67,14.63,20.63,13.98,16.89,14.92,19.6,18.05,18.0,17.43,18.08,17.88,15.74,18.26,16.62,17.25,18.98,17.6
Assists - Avg per 10 min,6.06,12.12,,2.74,8.27,1.57,14.1,1.4,8.88,0.56,2.53,0.57,0.09,0.54,0.22,3.86,6.49,7.31,4.77,5.32,1.92,10.44,14.81,11.39,9.65,7.6,5.09,15.51,17.24,10.77,5.08,2.06,3.87,,1.8,4.74,2.3,,0.42,1.15,6.57,5.82,0.78,0.04,2.62,2.03,4.01,3.56,3.94,7.78,7.72,17.45
Healing Done - Avg per 10 Min,3063,7326,419,,8496,155,7249,0.41,2161,2273,671,93.15,820,185,215,1886,34.76,6697,5800,1418,,7973,7527,8518,6199,1178,960,6904,8511,6819,14.74,,382,979,,6367,,,,1156,307,374,,42.05,208,7.36,,907,1324,7217,,5854
Final Blows - Avg per 10 Min,6.97,3.42,7.93,8.17,4.4,12.58,3.86,7.33,9.93,9.16,6.97,10.27,8.98,6.8,8.06,10.45,8.76,6.62,6.25,3.75,7.97,2.75,4.65,2.59,4.2,7.07,5.74,0.97,5.77,5.75,9.86,11.48,10.39,10.11,12.92,8.24,10.68,5.85,7.62,6.78,8.83,5.25,6.65,8.08,10.9,9.52,9.05,7.16,7.44,5.97,7.23,7.29
Time Spent on Fire - Avg per 10 Min,88,86,91,90,90,115,67,73,123,172,93,90,89,76,63,105,91,95,64,41,69,78,88,57,63,100,76,102,107,68,114,101,113,84,126,93,165,78,76,54,80,92,96,65,89,77,77,103,83,103,94,110
Objective Contest Time - Avg per 10 Min,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.22,0.4,1.93,1.64,0.77,1.16,0.37,1.32,1.29,1.27,0.63,2.1,1.57,1.35,1.53,0.84,2.11,1.04,0.82,0.94,1.82,0.26,0.75,0.28,0.43,0.71,0.58,0.08,0.72,1.33,0.9,2.71,1.6,1.55,1.8,1.44,1.49,1.02,1.21,0.73,1.92,0.38,1.83,1.92,3.21,2.47,3.58,1.01,2.62,0.68,0.9,1.16
Objective Kills - Avg per 10 Min,4.65,3.95,5.39,3.97,3.71,5.55,2.37,4.78,5.28,6.97,8.24,3.98,5.13,4.92,4.13,5.89,4.28,5.26,3.12,3.13,2.82,3.49,4.25,3.08,3.54,6.37,4.72,0.51,4.72,4.13,8.47,4.25,6.89,7.01,3.3,5.77,5.85,2.03,5.27,5.11,5.75,5.25,6.0,4.74,4.9,4.0,3.44,4.27,5.69,6.17,7.58,5.42
Objective Time - Avg per 10 Min,39,41,41,33,22,21,48,39,67,71,132,24,31,29,34,58,22,35,25,50,7,35,39,36,46,78,43,17,31,28,58,13,67,43,47,81,78,17,30,22,20,23,38,35,44,33,27,75,67,41,74,49
Time Played,1082682,132291,5898,31148,14719,7247,16170,29644,25553,8518,947,43118,19051,17812,32524,8557,11648,22484,3651,1918,5948,13737,86172,14805,26289,3393,8258,14161,9156,4068,12044,34707,9758,8900,3995,2913,29432,2361,112956,5752,17540,6284,4600,85649,7103,8257,12731,16000,2743,40427,8630,31018
Games Played,2198,272,10,67,30,16,33,65,50,17,2,91,39,39,61,16,24,49,6,4,12,29,166,33,48,6,15,30,18,9,23,74,19,22,8,6,63,5,225,11,35,11,12,166,15,16,26,33,5,81,18,66
