,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junkrat,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5
Damage,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1
Support,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,37,13,20,9,17,26,10,32,24,18,4,19,27,30,17,25,,21,24,24,22,21,20,19,37,17,10,18,17,22,27,20,23,19
Final Blows - Most in Game,30,6,7,5,7,17,5,17,13,15,4,12,24,20,8,12,,9,11,14,18,17,12,7,30,8,5,11,10,16,12,11,7,8
All Damage Done - Most in Game,18475,4336,9863,4638,5968,11362,3655,10378,9215,8186,6064,8405,12516,18475,5947,8065,530,7852,12297,11997,14328,11421,10389,8461,16171,4262,6304,9088,7701,5766,7813,10845,5523,6852
Healing Done - Most in Game,8090,4314,468,,3604,1486,3840,,,,,94,,,5870,1271,8084,4463,,,2837,,5630,,2267,836,,,,,,,,6290
Defensive Assists - Most in Game,19,11,,,10,,,,,,,,,,8,,8,12,,,,,,,4,,,,,,,,6,19
Offensive Assists - Most in Game,21,9,,,3,,,,,,,,,3,3,10,2,,13,,,6,6,,,12,,,,,,,6,21
Objective Kills - Most in Game,21,5,,8,8,13,7,18,8,6,,12,13,15,5,11,,13,12,6,12,11,11,8,21,5,6,8,7,14,16,11,15,11
Objective Time - Most in Game,229,79,5,27,57,133,82,96,87,69,5,152,116,71,107,115,20,102,174,38,163,187,152,68,81,42,53,22,40,10,142,186,124,103
Multikill - Best,5,,3,3,,3,,4,4,,,3,4,3,3,3,,3,3,,4,3,,,3,,,,,,5,3,3,
Solo Kills - Most in Game,30,,2,2,3,6,3,6,5,6,2,5,8,6,2,6,,3,3,9,8,4,6,,9,4,2,4,3,9,4,6,2,5
Time Spent on Fire - Most in Game,32,,20,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,
Melee Final Blows - Most in Game,4,2,,,,,,,2,,,2,2,,2,,,,,,,,2,,,,,,2,,4,3,,
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,20,4,6,5,8,11,9,10,18,11,3,11,13,15,8,10,1,13,20,10,19,10,10,6,19,9,6,9,8,10,17,15,8,11
Hero Damage Done - Most in Game,11329,3310,9014,2971,4090,7831,3622,7694,7740,8034,4109,7578,10544,11157,3621,5352,510,6867,4876,11115,11329,9550,7666,6216,9376,3602,5567,8223,6262,5030,6499,9373,5290,5354
Barrier Damage Done - Most in Game,10485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Contest Time - Most in Game,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,8,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,8,,,,
Final Blows - Avg per 10 Min,9.19,3.88,6.94,7.2,4.56,12.03,4.44,10.71,9.08,9.66,8.1,8.12,12.17,12.56,4.07,7.48,0.5,8.03,7.62,10.91,15.84,10.73,8.94,5.42,14.83,6.22,7.39,9.26,6.99,9.4,8.7,6.29,3.98,6.06
Time Spent on Fire - Avg per 10 Min,0,,62,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Objective Contest Time - Avg per 10 Min,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.8,0.57,1.98,1.44,1.88,3.4,1.27,3.64,2.75,4.29,4.05,2.22,3.73,4.52,1.14,2.49,,1.83,0.89,4.45,5.91,2.43,2.75,0.45,3.71,1.85,2.95,3.25,1.11,4.28,1.69,1.94,0.47,1.89
Objective Kills - Avg per 10 Min,5.93,2.84,0.99,5.28,6.97,8.96,6.35,6.32,6.34,3.14,2.02,3.52,6.03,4.69,3.6,6.62,,8.15,11.88,4.24,7.15,6.08,6.81,6.77,9.62,2.86,7.39,6.33,5.88,4.58,6.77,7.03,10.07,4.88
Objective Time - Avg per 10 Min,51,48,5,21,46,60,64,27,55,39,11,35,37,28,65,54,14,66,136,16,47,95,76,45,43,28,67,16,43,6,73,84,84,57
Hero Damage Done - Avg per 10 Min,5513,2858,8940,5673,4277,6800,3145,5471,5582,5182,8497,5124,6447,6806,3322,4959,623,5007,5699,7322,7398,5710,6179,4273,7838,2735,6079,7305,5265,4418,5385,5059,4111,4444
Deaths - Avg per 10 Min,8.74,8.14,7.93,10.57,7.24,8.13,8.46,10.78,5.92,12.19,12.15,8.88,9.0,9.3,9.85,8.24,9.03,7.54,6.56,9.5,8.92,9.51,7.06,4.97,9.71,9.42,9.85,9.26,9.85,8.79,7.18,7.39,8.67,9.52
Eliminations - Avg per 10 Min,16.58,9.18,19.83,13.93,15.55,20.66,12.9,17.71,19.97,13.11,8.1,14.21,17.05,17.0,11.84,19.2,1.0,20.32,23.4,19.4,22.99,16.95,18.31,17.16,22.87,11.1,15.76,18.35,15.41,13.52,18.57,14.71,13.82,14.08
Healing Done - Avg per 10 Min,1087,4055,464,,4715,1309,5747,,,,,2.97,,,5335,1062,6053,4508,,,1781,,4474,,1399,535,,,,,,,,3851
Hero Wins,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Played,214631,6338,605,2498,2238,7230,2837,8741,5680,7829,296,18917,26668,7165,6336,5531,1196,4931,3384,2969,10152,8392,9602,1329,6796,3567,1218,3694,3777,7852,10275,16398,2561,7626
Games Played,524,17,,6,7,20,7,22,11,17,1,46,69,15,18,13,3,12,10,7,25,20,21,2,15,9,3,11,9,18,24,39,7,19
Games Won,255,9,,3,5,11,2,11,4,7,,18,34,8,8,9,1,8,8,4,14,9,14,,7,3,1,3,5,5,11,19,2,9
Games Lost,269,9,0,4,2,8,5,11,7,9,1,29,35,7,9,4,2,4,2,3,11,11,8,1,9,6,2,7,4,13,13,20,4,10
Time Spent on Fire,132,,63,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,
Multikills,49,,,,,3,,3,4,,,,5,3,,4,,,2,,7,3,,,3,,,,,,4,2,,
Environmental Kills,32,,,,,,,,,2,,,,,4,,,,,6,,,6,,,,,,,,2,11,,
Deaths,3127,86,8,44,27,98,40,157,56,159,6,280,400,111,104,76,18,62,37,47,151,133,113,11,110,56,20,57,62,115,123,202,37,121
Objective Kills,2120,30,,22,26,108,30,92,60,41,,111,268,56,38,61,,67,67,21,121,85,109,15,109,17,15,39,37,60,116,192,43,62
Final Blows,3288,41,7,30,17,145,21,156,86,126,4,256,541,150,43,69,,66,43,54,268,150,143,12,168,37,15,57,44,123,149,172,17,77
Eliminations,5932,97,20,58,58,249,61,258,189,171,4,448,758,203,125,177,2,167,132,96,389,237,293,38,259,66,32,113,97,177,318,402,59,179
Melee Final Blows,113,7,,,,,,,3,4,,8,16,,6,2,,,,,3,,7,,2,2,,,4,,21,19,,3
Objective Contest Time,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,1001,6,2,6,7,41,6,53,26,56,2,70,166,54,12,23,,15,5,22,100,34,44,,42,11,6,20,7,56,29,53,2,24
Objective Time,18209,507,5,86,172,729,301,398,518,511,5,1110,1630,340,681,495,28,545,767,78,795,1323,1222,99,488,169,136,96,270,79,1242,2308,358,718
Hero Damage Done,1972115,30191,9014,23620,15957,81946,14869,79705,52841,67619,4197,161551,286552,81272,35076,45712,1241,41149,32144,36228,125166,79863,98894,9464,88784,16262,12345,44971,33144,57823,92216,138258,17549,56491
of Match on Fire,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Done,1972115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,109,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,48,,,,
Defensive Assists,498,84,,,30,,81,,,,,,,,54,,10,52,,,,,,,18,,,,,,,,18,151
Offensive Assists,515,60,,,5,,19,,,,,,,9,23,60,3,,55,,,33,55,,,28,,,,,,,13,152
Healing Done,388898,42832,468,,17590,15777,27170,,,,,94,,,56337,9793,12067,37052,,,30133,,71598,,15852,3184,,,,,,,,48953
Cards,125,,,,,5,2,3,3,,,8,13,5,2,6,,4,7,4,8,11,5,,8,,,6,,,9,8,,6
Scoped Accuracy - Best in Game,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,
Self Healing,,6065,,,4769,15777,7159,,,,,,,,19623,9793,1415,10354,,,30133,,71598,,11745,,,,4433,,,,,2260
Self Healing - Most in Game,,699,,,968,1486,,,,,,,,,2127,1271,793,1576,,,2837,,5630,,1730,,,,843,,,,,385
Enemies Slept,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified,,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,45,,41,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,
Healing Amplified - Avg per 10 Min,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,574,,,1278,1309,1514,,,,,,,,1858,1062,710,1260,,,1781,,4474,,1037,,,,704,,,,,178
Biotic Grenade Kills - Avg per 10 Min,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
