,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,51,16,6,38,22,19,12,34,24,24,28,6,12,18,38,24,33,25,12,49,27,23,37,25,27,8,19,23,,24,22,8,16,35,32,46,11,14,27,22,18,18,31,27,22,13,24,26,23,17,16,24
Final Blows - Most in Game,33,9,2,23,11,13,6,28,14,13,17,4,9,13,24,15,26,15,4,22,18,5,20,9,15,4,10,17,,13,9,5,13,21,17,30,4,5,20,16,9,9,18,19,16,7,18,18,11,4,11,11
All Damage Done - Most in Game,27236,7213,4489,20133,9634,21529,3505,20093,10326,12680,14921,6674,5292,11807,18683,17519,21962,7269,5358,19395,24680,5506,13857,7942,11007,5363,25757,4050,1692,8628,9677,7318,13201,10748,19410,22786,12163,7725,17701,15894,10814,6177,16221,12465,14153,9198,12495,8974,9741,9945,11864,7782
Healing Done - Most in Game,9583,4405,,,7803,365,3462,582,2043,2036,2576,67,63,68,704,297,1172,5675,4076,6052,,2178,6635,9583,7141,679,1219,6329,904,4584,179,,171,1839,,7230,,,,858,177,83,177,107,429,,,1502,1787,6902,,3176
Defensive Assists - Most in Game,21,9,,,16,,14,,,,,,,,,,,,4,,,,20,17,13,2,,14,,14,,,,,,,,,,,,,,,,,,,,,5,19
Offensive Assists - Most in Game,22,7,,,2,,,,,,,,,,,,,2,,,6,,7,,14,4,5,5,,,5,,,,4,11,,,,,3,,,,,,,,,,3,9
