,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Open,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Eliminations - Most in Game,75,22,38,40,23,29,28,30,54,34,33,23,22,23,38,48,25,15,11,26,44,13,28,18,36,,46,9,9,40,37,31,26,31,34,34,24,27,3,75,46,46,35,31,3,6,20,43,37,42,46,30
Final Blows - Most in Game,47,10,20,25,10,17,9,24,22,17,19,15,9,13,26,31,16,5,3,15,30,6,17,6,8,,16,7,2,22,12,21,18,23,18,18,16,12,2,47,27,24,21,20,,3,13,22,17,16,20,14
All Damage Done - Most in Game,57115,6361,19301,29784,12938,21001,11111,19059,28558,39819,13003,17458,18437,10575,18666,35401,14342,9386,6644,10551,26367,8932,10923,11039,13256,754,57115,2643,3651,15155,18567,16142,12076,15455,16472,27887,14553,10507,2266,30614,18965,23425,21330,11081,2486,2487,9066,10252,18477,27861,20284,16342
Healing Done - Most in Game,17010,13053,1278,,17010,2610,8448,120,2814,4885,226,810,1105,,100,1876,,3339,6666,2096,10,8947,16518,10639,8689,99,3113,13437,5761,12156,,,230,3161,,2632,,,,3338,5102,982,,,,,,,1008,13131,,10007
Defensive Assists - Most in Game,43,37,,,42,,19,,,,,,,,,,,,6,,,,31,18,27,,,34,14,26,,,,,,,,,,8,,,,,,,,,,,12,34
Offensive Assists - Most in Game,31,22,,,10,,,7,,,,,,,,,,2,,,6,,12,,24,,13,22,,,28,,3,,13,12,,,,,30,,,,,,,,,,10,31
Objective Kills - Most in Game,31,8,18,25,13,16,16,14,21,14,12,10,5,8,19,28,10,4,3,10,31,8,18,7,20,,24,6,2,20,23,16,15,15,19,19,11,6,,30,29,23,21,17,,2,7,26,21,20,18,16
Objective Time - Most in Game,394,182,143,154,216,209,256,183,226,179,115,95,83,39,170,191,148,46,16,165,139,82,140,145,240,2,230,120,9,177,305,96,89,155,394,243,242,36,14,155,192,237,123,104,24,17,38,206,232,180,220,140
Multikill - Best,5,3,4,4,4,4,3,4,5,4,3,3,4,,4,5,5,3,,4,4,3,3,3,3,,5,4,,4,4,4,4,5,4,4,3,,,4,5,4,4,3,,,3,3,4,4,4,3
