,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Open,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Eliminations - Most in Game,52,27,21,31,24,21,29,40,36,2,40,28,22,19,44,3,37,17,17,31,13,32,18,22,30,16,24,11,31,34,35,37,31,21,33,40,38,19,37,48,29,21,20,37,6,16,26,47,35,19,41,33
Final Blows - Most in Game,34,12,9,22,12,10,13,25,17,,15,18,13,11,27,,25,7,8,16,9,7,11,10,14,8,11,7,9,14,13,22,15,12,21,30,21,10,16,34,15,12,9,24,3,9,21,20,17,7,27,17
All Damage Done - Most in Game,34209,6895,10184,34209,9839,10133,7957,19515,17536,3248,13103,16669,32988,11915,23383,6291,20450,11250,4813,9528,5605,9383,11862,7851,10535,9690,22726,2370,14196,10557,20889,17845,16886,11612,15608,21780,18733,12360,16157,23648,10341,16677,8993,13398,6982,6377,9614,12182,18732,11980,18621,14164
Healing Done - Most in Game,18624,12960,1145,,10630,2064,13498,1191,14,184,1645,360,1484,209,243,730,,12098,5142,2273,,12409,11735,7706,10266,1749,1135,7798,18624,9549,,,450,1680,,5860,10,,,3456,1896,792,,299,94,75,,1724,1148,10485,,9387
Defensive Assists - Most in Game,39,34,,,19,,35,,,,,,,,,,,,12,,,,26,17,16,4,,18,38,16,,,,,,,,,,8,,,,,,,,,,,14,33
Offensive Assists - Most in Game,28,18,,,9,,,,,,,,,,,,,2,6,,,,12,,16,8,8,17,,,17,,7,,7,14,,,,,12,,,,,,,,,,12,28
