,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,torbjorn,tracer,vendetta,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,44,16,22,37,19,26,12,24,9,21,44,24,24,17,19,35,22,10,27,8,27,19,7,13,29,4,4,14,25,21,29,21,23,22,8,30,4,29,19,29,15,19,28,20,15,,21
Final Blows - Most in Game,28,6,11,27,8,18,6,16,6,7,28,17,11,6,9,11,12,3,9,5,11,14,4,3,11,,2,4,11,13,17,14,15,11,2,21,,16,3,15,8,8,11,5,7,,14
All Damage Done - Most in Game,31373,6707,9835,25441,7571,15205,4174,15835,8537,14394,15542,15119,20421,11588,10110,31373,18617,4339,6509,10436,10432,8428,6856,6477,12795,8953,853,3309,7028,8531,16207,7262,20204,7526,4202,21075,3399,15181,9860,10152,11407,10185,11129,7248,7977,1889,10328
Healing Done - Most in Game,15718,10963,505,,8479,205,6823,214,,1705,3139,322,1105,,371,3315,874,9054,10237,,11159,13642,9324,11053,1619,423,9301,8281,7289,24,293,1583,,2684,,222,,1658,,386,187,,2929,1635,5438,,8631
Defensive Assists - Most in Game,28,19,,,17,,18,,,,,,,,,,,,15,,,22,14,10,5,,18,19,19,,,,,,,,,3,,,,,,,,,23
Offensive Assists - Most in Game,21,12,,,3,,,,,,,,,,,,,,21,,,9,,8,13,3,12,,,3,4,,4,5,,,,,,,,,,,,,12
Objective Kills - Most in Game,21,9,8,15,8,11,5,10,6,5,21,9,11,5,6,16,13,6,8,,9,7,3,5,5,,2,4,10,6,7,7,9,6,5,7,,12,8,9,9,7,10,2,7,,12
Objective Time - Most in Game,269,139,69,175,53,120,269,205,45,32,134,99,177,31,39,112,170,36,69,15,80,144,115,84,61,2,69,7,73,86,100,66,116,23,33,70,5,112,39,55,37,141,144,35,119,,97
Multikill - Best,5,3,3,5,3,3,,5,,,4,3,3,,3,3,4,,3,,,3,,3,3,,,,5,3,3,3,3,,3,4,,3,3,,,,4,3,,,4
Solo Kills - Most in Game,28,2,2,2,,3,,4,3,,6,4,2,,,2,3,,2,3,2,3,,,,,,,,,,4,7,,,5,,4,,5,2,4,2,,,,3
Time Spent on Fire - Most in Game,89,60,37,59,67,38,76,71,20,51,89,58,71,20,41,52,57,51,49,24,35,62,58,43,67,15,83,17,67,19,36,41,50,30,21,41,18,61,28,44,33,67,69,17,33,,65
Melee Final Blows - Most in Game,5,,,,,,,,,,5,2,,,,,,,5,,,,,,,,,,,2,3,,,,,,,,,,,3,,,,,
Environmental Kills - Most in Game,4,,,,,,,,,,3,,,,,,,,3,,,,,4,,,,,,,,,2,,,,,,,,,,2,,,,
Kill Streak - Best,23,14,9,22,12,11,8,14,7,8,23,10,18,11,15,12,17,7,10,4,14,11,3,7,14,3,2,7,11,10,18,15,18,14,4,11,2,13,6,12,6,12,12,12,8,1,10
Hero Damage Done - Most in Game,17863,5067,8411,17143,5437,14170,3619,11124,3449,9408,14941,11729,11598,8617,9867,17863,11748,3656,6101,5783,10432,5892,3246,4272,12517,1412,793,3309,7027,8263,10339,7021,10832,5750,3737,15522,3363,11920,8977,8161,7572,10035,8809,6569,5416,1542,8987
Barrier Damage Done - Most in Game,5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,27,25,,10,19,3,17,5,,,10,2,,,,6,8,6,24,,17,22,14,11,13,3,20,16,16,3,4,,4,5,,,,2,,,2,9,4,7,16,,21
Objective Contest Time - Most in Game,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,7,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Hero Damage Done - Avg per 10 Min,7352,3335,7077,10708,4861,11042,3707,8727,7068,9408,9124,8800,10027,9465,6800,11797,8613,3857,1937,8889,5591,4094,1487,4197,12956,4335,623,4093,7289,10663,12860,7239,9240,9218,10704,11028,6588,9791,9328,8091,7473,6132,8472,6619,6981,7158,6244
Deaths - Avg per 10 Min,6.32,4.73,6.96,5.65,5.42,7.28,4.59,7.29,6.1,5.0,7.22,8.1,6.72,5.28,7.45,5.64,6.64,5.45,5.21,9.74,5.44,4.88,4.8,7.62,7.55,9.21,3.22,4.95,5.24,5.72,3.95,7.44,7.33,5.25,10.02,6.59,10.31,5.92,8.41,4.28,9.36,8.35,6.83,8.35,3.45,8.29,6.25
Eliminations - Avg per 10 Min,15.91,10.43,20.74,19.59,16.14,19.38,10.45,18.48,20.04,21.0,20.64,16.34,17.38,16.72,17.48,24.58,13.38,8.17,10.18,10.39,12.63,11.6,3.8,12.38,21.9,12.29,2.97,17.32,22.26,21.44,32.56,20.28,19.49,23.33,14.48,19.78,10.31,21.09,15.77,21.38,12.66,11.37,18.01,16.06,17.26,4.14,15.57
Assists - Avg per 10 min,6.04,13.39,,3.47,13.29,1.71,16.82,1.86,0.87,1.0,4.61,0.28,,0.44,0.26,2.82,4.29,7.26,15.34,0.65,7.52,13.58,10.61,8.33,10.57,9.21,17.09,19.79,10.04,4.29,2.96,0.19,1.76,5.83,,,,0.65,1.05,,1.38,3.02,3.07,5.14,20.14,,16.08
Healing Done - Avg per 10 Min,2863,7569,280,,6487,21.91,7719,20.78,,1705,1928,88.37,764,,163,2205,152,8737,6469,,6655,8217,8927,6149,1698,1299,9562,10244,6947,17.28,350,1583,,5312,,34.07,,1231,,236,69.4,,1697,1605,6906,,6489
Final Blows - Avg per 10 Min,7.67,3.18,8.51,9.72,5.42,11.46,4.08,10.71,10.46,7.0,11.17,9.24,7.74,6.6,6.42,10.08,8.32,3.18,2.82,7.8,4.48,4.83,1.8,2.38,7.93,,0.74,4.95,9.6,10.01,17.76,11.35,12.44,11.08,3.34,11.19,1.72,10.36,3.15,12.22,6.88,7.24,7.42,4.5,6.91,4.14,6.76
Time Spent on Fire - Avg per 10 Min,102,94,81,125,109,118,141,101,59,116,120,91,105,76,99,144,94,72,67,78,98,97,56,68,143,46,136,52,101,65,162,97,150,146,27,111,82,113,51,141,76,72,115,51,143,,106
Objective Contest Time - Avg per 10 Min,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.12,0.35,0.77,0.74,0.41,0.96,0.25,1.52,2.61,,1.84,1.42,1.01,,0.51,1.21,1.58,0.45,0.49,2.6,0.48,0.62,0.2,0.71,0.38,,0.25,1.24,,,0.49,3.16,2.41,,,3.07,,1.11,1.05,3.67,0.83,2.51,0.99,0.64,0.58,,1.4
Objective Kills - Avg per 10 Min,4.83,3.67,5.57,6.44,5.29,6.21,3.57,5.84,11.33,5.0,6.61,5.54,5.36,4.4,3.85,8.46,4.38,3.63,2.27,1.3,4.48,3.6,1.0,3.57,4.91,3.07,0.5,4.95,9.6,6.43,8.39,3.91,4.27,8.17,6.68,4.91,,7.68,6.31,7.94,4.13,2.31,3.46,1.93,6.91,,6.13
Objective Time - Avg per 10 Min,48,43,41,63,38,40,148,43,79,32,72,40,56,19,26,72,56,18,32,13,41,36,28,78,44,7,24,9,52,87,81,39,82,42,57,39,10,33,29,71,30,23,71,47,92,,29
Time Played,192937,13576,3877,12957,4424,5603,2354,16139,689,600,11714,4222,10082,1364,2335,1489,13277,1322,9781,924,3752,13654,2997,2520,1589,195,2422,485,1374,839,1216,3225,6465,1029,539,3914,349,6487,1141,982,2180,5966,6064,934,1043,145,4701
Games Played,383,28,8,28,8,10,5,31,2,,23,8,21,3,5,3,29,2,19,3,7,27,4,4,3,0,5,,2,2,3,6,14,2,1,8,1,13,2,2,4,13,13,2,2,0,8
Games Won,193,14,6,17,6,3,3,16,0,,13,6,8,,3,2,12,1,12,,,10,2,4,1,,3,,1,1,2,4,8,1,,6,,6,,1,,2,5,,2,,4
Games Lost,190,15,2,10,2,7,2,15,1,0,10,2,13,2,2,1,17,1,7,3,6,16,2,1,1,0,2,0,1,1,,2,6,1,1,1,1,7,1,,3,10,8,2,0,0,4
Hero Wins,193,14,6,17,6,3,3,16,0,,13,6,8,,3,2,12,1,12,,,10,2,4,1,,3,,1,1,2,4,8,1,,6,,6,,1,,2,5,,2,,4
Objective Time,15547,979,267,1352,277,375,580,1146,91,32,1398,280,945,43,102,179,1242,40,526,20,258,817,141,327,117,2,96,7,119,122,165,207,879,72,51,254,6,359,55,117,107,224,714,73,159,,224
Eliminations,5116,236,134,423,119,181,41,497,23,21,403,115,292,38,68,61,296,18,166,16,79,264,19,52,58,4,12,14,51,30,66,109,210,40,13,129,6,228,30,35,46,113,182,25,30,,122
Environmental Kills,36,,,,,2,,,,,10,,,,,,,,6,,,,,5,,,,,,,,,5,,,,,,,,,,6,,,,
Hero Damage Done,2364140,75470,45726,231235,35844,103121,14544,234747,8113,9408,178129,61932,168485,21514,26459,29272,190598,8495,31584,13682,34969,93165,7429,17627,34321,1412,2516,3309,16695,14917,26069,38914,99566,15804,9612,71932,3834,105864,17741,13246,27155,60971,85629,10302,12131,1728,48921
Final Blows,2465,72,55,210,40,107,16,288,12,7,218,65,130,15,25,25,184,7,46,12,28,110,9,10,21,,3,4,22,14,36,61,134,19,3,73,,112,6,20,25,72,75,7,12,,53
Deaths,2031,107,45,122,40,68,18,196,7,5,141,57,113,12,29,14,147,12,85,15,34,111,24,32,20,3,13,4,12,8,8,40,79,9,9,43,6,64,16,7,34,83,69,13,6,2,49
Damage Done,2364140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1553,83,36,139,39,58,14,157,13,5,129,39,90,10,15,21,97,8,37,2,28,82,5,15,13,,2,4,22,9,17,21,46,14,6,32,,83,12,13,15,23,35,3,12,,48
Time Spent on Fire,32891,2126,523,2707,806,1106,552,2703,67,116,2347,639,1769,173,384,356,2076,160,1087,120,615,2206,281,285,379,15,549,42,231,91,327,520,1620,250,24,724,48,1226,97,231,276,715,1160,79,248,,832
Melee Final Blows,89,2,,,,,,5,,,29,3,,,,,,,14,2,,2,,,,,2,,,2,6,,,3,,,,,,,,4,5,,,,
Objective Contest Time,7183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,361,8,5,16,3,9,,41,3,,36,10,17,,2,3,35,,8,4,3,14,,3,,,,,,,,17,26,,,20,,12,2,6,3,25,10,,,,11
Multikills,95,,5,10,,2,,7,,,7,,5,,,2,5,,,,,4,,,3,,,,2,2,6,2,12,,,3,,3,,,,,3,,,,3
of Match on Fire,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,90,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
Defensive Assists,1263,242,,,108,,76,,,,,,,,,,,,142,,,333,57,26,11,,57,19,28,,,,,,,,,19,,,,,,,,,144
Offensive Assists,645,149,,,5,,20,,,,,,,,,,,,189,,,99,2,21,25,3,38,,,6,6,,18,10,,,,,,,,,,,,,52
Healing Done,920710,171257,1807,,47836,205,30289,559,,1705,37649,622,12841,,633,5471,3369,19245,105459,,41619,187006,44591,25825,4497,423,38605,8281,15914,24,709,8508,,9107,,222,,13304,,386,252,,17153,2497,12001,,50838
Assists,1942,303,,75,98,16,66,50,,,90,2,,,,7,95,16,250,,47,309,53,35,28,3,69,16,23,6,6,,19,10,,,,7,2,,5,30,31,8,35,,126
Cards,37,,,,,2,,4,,,7,7,3,,,,,,,,,,,2,,,,,,,,3,,,,2,,,,,,,,,,,
Scoped Accuracy - Best in Game,,72,,100,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,
Self Healing,,3120,,,3820,,3724,,,1302,,,8705,,,,,1796,,,,,2925,6077,4241,423,3667,,2731,,,7687,,9107,,,,8964,,1399,,,,,,,803
Self Healing - Most in Game,,314,,,798,,,,,1302,,,,,,,,1002,,,,,811,2511,1492,423,828,,1065,,,1433,,2684,,,,1145,,1007,,,,,,,424
Enemies Slept,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,11676,,,3287,,,,,,,,,,,,,,,,2279,,,,,,4835,,,,,,,,,,,,,,,,,,,,9783
Damage Amplified - Most in Game,,1035,,,830,,,,,,,,,,,,,,,,503,,,,,,1764,,,,,,,,,,,,,,,,,,,,2154
Healing Amplified,,9377,,,2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,
Healing Amplified - Most in Game,,1056,,,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,,
Scoped Accuracy,,59,,43,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,
Healing Amplified - Avg per 10 Min,,414,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,
Self Healing - Avg per 10 Min,,138,,,518,,949,,,1302,,,518,,,,,815,,,,,586,1447,1601,1299,908,,1192,,,1430,,5312,,,,829,,855,,,,,,,102
Damage Amplified - Avg per 10 Min,,516,,,446,,,,,,,,,,,,,,,,364,,,,,,1198,,,,,,,,,,,,,,,,,,,,1249
Biotic Grenade Kills - Avg per 10 Min,,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,14,9,22,12,11,8,14,7,8,23,10,18,11,15,12,17,7,10,4,14,11,3,7,14,3,2,7,11,10,18,15,18,14,4,11,2,13,6,12,6,12,12,12,8,,10
All Damage Done - Most in Life,,4259,3159,12095,3992,5944,3958,6470,3868,4577,10560,6344,7160,5338,3337,6969,10016,2411,2633,5078,4237,5219,1721,2117,5024,4686,718,1516,2372,3542,6421,4915,6008,4670,2365,7504,1186,7531,4297,3846,4850,6180,6678,2975,4006,1889,4609
Weapon Accuracy - Best in Game,,62,41,67,42,31,,64,27,42,40,40,43,38,29,30,45,55,56,67,42,44,47,36,43,38,100,23,,44,38,41,,38,61,31,23,41,28,50,,64,73,40,39,50,48
Melee Final Blow - Most in Game,,1,,1,,,,1,,,,,1,,,,1,,,1,1,1,1,1,,,1,,,,,1,,1,,,,,,1,,,1,1,,,1
Hero Damage Done - Most in Life,,3465,2881,9299,2689,4150,3423,5482,1813,3212,8908,5407,6153,4457,3307,3842,6417,2121,1983,2850,3717,3184,836,2057,4746,694,598,1516,2372,3392,4460,4677,4786,4245,2215,6050,1186,6630,3897,3314,3153,6030,5699,2406,3746,1542,3270
Obj Contest Time - Most in Game,,39,47,35,37,120,33,66,45,32,116,29,23,31,39,92,61,28,67,15,56,72,17,84,22,2,69,7,30,26,45,52,74,23,29,28,0,69,27,36,36,18,144,35,14,,29
Obj Contest Time - Avg per 10 Min,,11,26,13,24,23,40,20,76,32,55,20,10,18,26,62,11,14,16,13,25,18,8,57,28,7,21,9,20,37,43,24,42,35,53,12,0,18,23,36,28,3,46,39,11,,11
Melee Final Blows - Avg per 10 Min,,0.09,,0.05,,,,0.19,,,1.49,0.43,0.06,,,,0.05,,0.86,1.3,0.16,0.09,0.2,0.24,,,0.5,,,1.43,2.96,0.19,,1.75,,,,,,0.61,,0.4,0.49,0.64,,,0.13
All Damage Done - Avg per 10 Min,,4207,8144,13357,6068,12404,4621,10795,14334,14394,10337,10836,12486,11339,8218,20864,10830,4445,2338,15510,6608,4995,2484,5142,13662,27499,729,4093,7535,13301,17398,8652,11951,11659,11989,15262,6650,11175,10153,10133,10337,7019,10161,7338,8930,8595,7900
Eliminations per Life,,2.21,2.98,3.47,2.98,2.66,2.28,2.54,3.29,4.2,2.86,2.02,2.58,3.17,2.34,4.36,2.01,1.5,1.95,1.07,2.32,2.38,0.79,1.63,2.9,1.33,0.92,3.5,4.25,3.75,8.25,2.73,2.66,4.44,1.44,3,,3.56,1.88,5,1.35,1.36,2.64,1.92,5,0.5,2.49
Win Percentage,,48,75,63,74,28,65,52,21,100,57,70,37,33,60,79,42,41,66,,14,39,53,85,46,,54,100,60,70,67,74,58,42,,83,,45,58,51,25,20,39,,89,,54
All Damage Done,,95181,52619,288440,44745,115841,18129,290373,16451,14394,201803,76260,209807,25773,31979,51771,239643,9790,38114,23874,41325,113680,12406,21596,36191,8953,2941,3309,17259,18609,35270,46506,128777,19990,10765,99554,3870,120826,19311,16588,37564,69786,102702,11421,15517,2075,61893
Multikill,,1,,,1,,,,,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,
Obj Contest Time,,253,170,290,179,218,156,542,88,32,1068,144,167,41,102,154,234,30,266,20,157,414,41,241,74,2,86,7,45,52,87,131,453,60,47,76,0,191,43,59,101,30,465,61,20,,88
Weapon Accuracy,,48,27,41,34,24,,44,23,42,25,27,33,26,22,25,25,46,35,24,35,27,28,27,37,38,25,23,,36,28,28,,22,56,26,23,32,20,36,,42,56,30,35,22,32
Offensive Assists - Avg per 10 Min,,6.59,,,0.68,,5.1,,,,,,,,,,,0.45,11.59,0.65,,4.35,0.4,5.0,9.44,9.21,9.41,,,4.29,2.96,,1.67,5.83,,,,,,,,,,,,,6.64
Defensive Assists - Avg per 10 Min,,10.7,,,14.65,,19.37,,,,,,,,,,,,8.71,,,14.63,11.41,6.19,4.15,,14.12,23.5,12.22,,,,,,,,,1.76,,,,,,,,4.14,18.38
Card,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,1
Critical Hit Damage,,,12761,,,,,,,,,,,,,,,,,,,,,,14766,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2118,,,,,,,,,,,,,,,,,,,,,,5798,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,1975,,,,,,,,,,,,,,,,,,,,,,5574,,,,,,,,,,,,,,,,,,,,,,
