,all-heroes,dva,doomfist,junker-queen,orisa,ramattra,reinhardt,roadhog,sigma,winston,wrecking-ball,zarya
Tank,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Damage,,,,,,,,,,,,
Support,,,,,,,,,,,,
Open,,,,,,,,,,,,
Eliminations - Most in Game,46,30,32,23,20,8,46,34,32,32,21,28
Final Blows - Most in Game,29,12,14,14,7,2,29,27,13,18,11,10
All Damage Done - Most in Game,29813,14399,12997,12630,10424,3781,16734,29813,18945,12780,6295,14438
Healing Done - Most in Game,6885,367,984,2392,,,,4398,,33,493,
Defensive Assists - Most in Game,10,,,,,,,3,,,,10
Offensive Assists - Most in Game,13,,,,13,3,8,11,,,,5
Objective Kills - Most in Game,22,11,11,10,13,3,22,18,15,12,6,14
Objective Time - Most in Game,363,140,206,98,263,44,334,363,217,198,90,86
Multikill - Best,5,4,,,,,5,4,3,3,,4
Solo Kills - Most in Game,29,2,3,,,,5,6,3,6,2,
Time Spent on Fire - Most in Game,69,,48,,,,39,69,41,45,,
Melee Final Blows - Most in Game,6,2,3,,,,,6,2,3,,
Environmental Kills - Most in Game,4,,,,,,4,,,,,
Kill Streak - Best,28,15,28,9,15,5,16,22,14,19,21,19
Hero Damage Done - Most in Game,15462,8579,11074,11442,6167,3266,15462,13424,15280,9691,5773,9288
Barrier Damage Done - Most in Game,20278,,,,,,,,,,,
Assists - Most in Game,10,10,9,5,5,3,4,6,4,4,6,8
Objective Contest Time - Most in Game,215,,,,,,,,,,,
Hero Damage Done - Avg per 10 Min,7852,7009,7457,10373,6618,8393,7725,7931,9894,7528,7277,8579
Deaths - Avg per 10 Min,6.13,4.43,6.57,7.09,5.08,8.29,6.84,4.95,4.72,6.76,7.08,6.18
Assists - Avg per 10 min,3.65,9.63,3.89,4.61,5.16,5.53,1.64,4.55,2.23,2.79,3.79,6.57
Eliminations - Avg per 10 Min,19.4,21.94,17.81,19.48,16.12,17.97,17.97,19.75,21.19,22.5,15.64,19.83
Healing Done - Avg per 10 Min,743,38.02,243,1204,,,,4201,,2.49,72.72,
Final Blows - Avg per 10 Min,9.39,7.47,8.42,8.5,5.26,4.15,9.8,10.67,8.54,10.89,6.79,7.81
Time Spent on Fire - Avg per 10 Min,15,,53,,,,7,40,18,5,,
Objective Contest Time - Avg per 10 Min,59,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.3,0.74,1.34,0.71,,,1.1,1.69,0.97,2.12,1.48,0.7
Objective Kills - Avg per 10 Min,6.36,4.98,4.6,6.38,6.13,5.53,6.54,6.93,8.09,5.7,5.61,8.28
Objective Time - Avg per 10 Min,90,70,81,83,134,83,91,96,110,85,98,63
Time Played,110819,6508,9401,1694,3423,434,36126,18439,8012,17573,4065,5144
Games Played,227,11,19,4,8,1,74,36,16,38,10,11
Games Won,127,9,10,,2,0,44,18,8,26,3,5
Games Lost,100,2,9,3,6,0,30,17,8,11,7,6
Hero Wins,45,2,10,,1,0,9,8,6,4,2,
Objective Time,16676,762,1267,234,764,60,5483,2936,1463,2501,663,543
Eliminations,3584,238,279,55,92,13,1082,607,283,659,106,170
Environmental Kills,41,2,2,,,,12,15,2,6,,
