,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,junker-queen,junkrat,kiriko,lucio,mauga,mei,mercy,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,37,14,14,5,3,2,25,23,14,,28,,11,10,13,4,24,,20,4,7,37,12,15,16,36,14,13,35,10,13,13,27,22,19,36,24
Final Blows - Most in Game,29,6,11,2,3,,17,8,12,,16,,8,4,9,3,15,,9,,4,29,5,8,10,22,4,,25,6,8,7,14,17,13,15,13
All Damage Done - Most in Game,19600,6448,7897,1638,5012,557,13459,4780,6003,651,9743,2715,6527,4068,7992,1714,5852,824,12705,1305,6367,10534,6466,4314,5220,12169,5562,3365,11427,3586,4914,6457,8658,6807,5224,18073,6042
Healing Done - Most in Game,7980,7935,,1999,631,617,,801,378,,102,,,492,,5554,4465,174,695,6533,,,,526,,4836,,,1890,667,,,,,,,3320
Defensive Assists - Most in Game,15,14,,3,,,,,,,,,,,,9,10,,,12,,,,,,,,,3,,,,,,,13,11
Offensive Assists - Most in Game,16,12,,,,,4,,,,,,,,,,8,,4,14,,,2,,2,5,,,,5,,,,,,11,16
Objective Kills - Most in Game,20,7,4,,,,13,9,9,,15,,3,,6,3,9,,6,,3,11,6,6,9,15,6,,15,8,7,2,9,6,6,14,
Objective Time - Most in Game,229,113,25,7,5,5,99,67,84,5,112,36,9,15,64,46,186,1,66,29,12,65,58,62,120,197,41,3,81,23,36,7,77,32,78,126,33
Multikill - Best,5,,4,,,,4,3,,,4,,,,3,,3,,,,,4,,5,3,3,3,,3,,,,3,,3,4,
Solo Kills - Most in Game,29,6,4,,2,,11,3,5,,7,,5,,4,,10,,,,,11,,3,4,11,,,9,,,3,8,10,5,5,5
Time Spent on Fire - Most in Game,72,,15,,6,,56,20,23,,15,,,15,,33,,,,,20,40,39,,30,72,32,36,34,,,44,26,27,38,36,
Melee Final Blows - Most in Game,4,2,,,,,,,,,3,,,,,,2,,2,,,,,,,4,,,,,,,3,2,2,4,3
Environmental Kills - Most in Game,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,23,14,8,3,2,2,13,11,14,,17,,11,9,7,4,10,1,9,2,5,16,8,10,9,20,12,13,15,10,12,13,12,15,11,23,14
Hero Damage Done - Most in Game,13456,3706,5155,1513,3112,312,10132,3838,5748,651,6347,801,4423,3908,5185,1714,3217,824,3566,240,3367,9396,5586,3272,4600,9873,3779,3365,6338,2992,3578,5882,7969,5098,4644,11926,5673
Barrier Damage Done - Most in Game,5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,12,10,2,2,,,2,2,3,,,,,2,,7,,,,2,,2,2,,,5,3,2,2,,,,,2,4,8,
Objective Contest Time - Most in Game,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
