,all-heroes,ana,ashe,bastion,brigitte,cassidy,dva,doomfist,genji,hanzo,junkrat,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,zarya,zenyatta
Tank,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3
Damage,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,42,3,22,32,2,22,40,20,4,40,28,,5,5,22,16,42,40,22,31,,36,5,7,,26,30,4,4,10
Final Blows - Most in Game,30,,12,22,,15,19,13,3,21,17,,2,2,6,6,30,27,9,18,,18,4,4,,12,17,2,,3
All Damage Done - Most in Game,22538,1521,4283,22538,614,11796,16452,4218,4711,18367,18716,371,1081,628,6790,11238,21034,19820,11547,13687,913,17247,785,3065,2421,11941,8220,2851,3460,5226
Healing Done - Most in Game,12460,772,,2617,806,,7,,,,,1191,300,12460,6005,,,2807,,4826,,3467,1158,,,,,,,6775
Defensive Assists - Most in Game,31,,,,,,,,,,,,,31,14,,,,,,,6,,,,,,,,15
Offensive Assists - Most in Game,11,,,,,,,,,,8,,3,9,,8,,,7,9,,,,,,,,,,11
Objective Kills - Most in Game,26,,11,17,,8,18,6,2,24,16,,3,2,11,12,18,26,11,11,,21,2,5,,17,10,4,2,5
Objective Time - Most in Game,201,11,167,60,10,120,161,96,40,128,175,18,13,137,50,159,113,201,143,140,0,145,52,17,2,175,117,131,26,88
Multikill - Best,5,,,4,,4,4,,,,3,,,,3,,5,4,3,3,,3,,,,3,3,,3,
Solo Kills - Most in Game,30,,2,16,,7,8,4,,5,4,,,2,,,13,6,3,4,,5,,2,,8,11,,,2
Time Spent on Fire - Most in Game,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blows - Most in Game,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Environmental Kills - Most in Game,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,27,1,10,19,1,12,26,10,2,13,13,,3,3,11,8,27,17,12,14,1,18,4,5,1,12,21,3,3,5
