,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Support,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,39,15,24,3,14,9,24,35,26,18,25,24,6,30,9,11,14,22,,30,11,14,,26,22,19,23,18,27,39,16,22,23,20,8,17,11,12
Final Blows - Most in Game,24,5,14,,7,3,16,19,16,9,12,20,2,24,4,2,3,14,,13,3,10,,17,18,6,13,11,18,24,5,12,10,12,4,12,3,2
All Damage Done - Most in Game,15039,4910,8191,2160,10738,4289,8423,11351,9995,5080,9941,10508,3768,14069,4502,3116,2918,15039,260,7852,7614,5598,593,8668,10352,6716,9705,7909,8767,10136,5882,9993,7347,6971,3198,7419,4650,2450
Healing Done - Most in Game,6632,6632,,1721,,6097,,,388,56,134,,256,,5899,2096,6077,1433,4877,4536,,,,2130,,2188,,,2816,467,,,,,,690,,3920
Defensive Assists - Most in Game,17,15,,,,,,,,,,,,,14,5,11,,10,11,,,,,,,,,6,,,,,,,,6,14
Offensive Assists - Most in Game,18,12,,3,,,,,,,,,,3,5,,6,3,6,,4,,,,3,3,,,,8,,,,,,,3,5
Objective Kills - Most in Game,19,6,9,,5,4,12,9,11,8,11,12,4,10,5,4,8,5,,15,5,7,,7,10,11,6,6,16,13,8,9,6,10,,4,8,9
Objective Time - Most in Game,237,55,104,10,40,121,68,216,118,81,110,116,55,126,106,6,116,85,45,119,105,39,,106,200,86,211,72,160,64,118,28,58,52,7,61,48,95
Multikill - Best,4,,,,,,3,4,3,,3,4,,4,,,,3,,3,,,,3,4,,,3,4,,,3,,,,,,
