,all-heroes,anran,ashe,bastion,cassidy,dva,doomfist,emre,genji,hanzo,junker-queen,mauga,moira,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,venture,widowmaker,winston,wrecking-ball,zarya
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,43,18,22,32,20,31,43,11,40,23,30,3,18,23,7,32,24,23,23,19,25,30,32,15,15,15,43
Final Blows - Most in Game,30,8,17,18,15,24,30,9,30,14,22,,7,21,3,25,16,11,6,8,14,19,27,11,12,9,25
All Damage Done - Most in Game,22214,4180,15167,12600,10667,16300,21615,8380,18109,10903,14746,2924,6708,11056,5385,12092,19841,9827,14130,8194,7711,12582,14702,5215,13475,11952,22214
Healing Done - Most in Game,6154,,,,,,852,1019,225,,3378,475,5500,,976,,6154,,,359,496,,,,,,
Defensive Assists - Most in Game,9,,,,,,,,,,,,9,,,,,,,2,,,,,,,4
Offensive Assists - Most in Game,12,,,,,,,,,,,2,,,,4,6,,,,5,,,,,,6
Objective Kills - Most in Game,15,3,5,6,9,6,15,3,13,6,9,,2,6,3,9,12,11,6,2,9,9,5,2,3,7,11
Objective Time - Most in Game,186,9,17,10,67,93,91,32,74,41,38,12,6,11,24,65,186,25,10,11,33,46,35,3,77,51,114
Multikill - Best,5,,,,4,3,3,,5,,3,,4,,,3,,,,,,3,,,,,4
Solo Kills - Most in Game,30,,4,5,3,6,8,2,8,4,6,,3,13,,5,2,2,3,,3,9,14,4,3,3,5
Time Spent on Fire - Most in Game,135,27,52,52,38,41,69,36,61,76,78,3,28,49,33,54,54,55,22,61,64,51,43,29,38,45,135
Melee Final Blows - Most in Game,8,,2,,,5,6,,8,,2,,,,,,5,2,,,3,6,,,5,4,2
Environmental Kills - Most in Game,2,,,,,,2,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,26,13,12,11,8,14,16,3,14,13,19,2,6,11,4,12,13,12,7,17,8,15,7,8,11,9,26
Hero Damage Done - Most in Game,18667,3522,11115,12086,9687,15442,18667,7401,15618,9845,12425,2924,6408,9124,3801,11732,13784,6901,12083,7808,7679,10766,13502,5215,12516,11362,16318
Barrier Damage Done - Most in Game,6012,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,12,,5,5,3,8,12,,,5,6,2,8,4,,4,6,3,,2,5,,,9,2,4,7
Objective Contest Time - Most in Game,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,7,,,,,,,,,6,,,,,,,,,,,,,,7,,,
Hero Damage Done - Avg per 10 Min,11230,4287,10990,14538,11301,12680,12386,13769,10819,11078,13628,11451,7365,12109,13691,10532,10740,11656,11788,13663,7831,8802,8677,7342,12516,9432,15265
Deaths - Avg per 10 Min,7.79,7.86,7.5,5.74,9.1,4.98,8.19,11.16,9.66,7.16,6.62,11.75,8.05,7.4,3.6,9.04,5.89,5.2,8.78,10.98,6.39,9.13,7.88,6.46,5.0,7.02,4.72
Eliminations - Avg per 10 Min,24.79,13.75,23.11,35.24,23.25,28.55,25.7,20.46,26.11,23.16,33.12,11.75,20.69,27.76,25.21,19.34,19.42,27.29,22.44,27.44,20.14,21.64,19.15,19.39,15.0,14.04,37.21
Assists - Avg per 10 min,2.98,,3.3,4.1,1.35,6.97,5.17,,,5.05,7.01,7.83,9.19,2.96,,2.54,4.71,3.25,,2.74,4.42,,0.56,7.9,2.0,2.34,4.59
Healing Done - Avg per 10 Min,473,,,,,,406,1895,84.66,,3463,1861,6322,,3515,,4778,,,743,619,,,,,,
Final Blows - Avg per 10 Min,15.67,5.89,14.71,18.85,16.85,19.58,15.12,16.74,19.1,15.16,20.65,,8.05,18.88,10.81,12.14,11.77,14.29,5.85,12.35,12.28,12.51,15.77,15.08,12.0,7.02,23.32
Time Spent on Fire - Avg per 10 Min,141,58,127,219,135,208,150,188,139,142,191,10,51,170,174,99,137,155,90,206,114,93,149,100,172,109,208
Objective Contest Time - Avg per 10 Min,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,3.72,0.65,3.9,4.92,3.37,4.31,3.66,3.72,3.86,3.37,5.46,,3.45,7.03,3.6,2.82,1.18,1.3,2.93,,3.44,4.85,8.45,5.03,3.0,1.87,3.31
Objective Kills - Avg per 10 Min,5.6,1.96,3.0,8.19,7.08,5.31,6.68,5.58,5.79,5.47,6.62,,2.3,3.7,10.81,5.37,8.53,9.1,5.85,2.74,5.9,4.62,3.38,2.87,3.0,3.74,6.5
Objective Time - Avg per 10 Min,41,11,12,9,42,67,53,60,37,24,22,46,7,5,87,46,128,32,10,20,33,26,31,2,77,34,55
Time Played,52216,917,1999,732,1781,1808,7542,323,8388,1425,1540,153,522,1621,167,4249,2039,923,615,437,1221,5324,1066,835,600,1282,4708
Games Played,97,2,3,1,3,3,13,,16,3,3,0,,4,0,7,3,3,,1,2,9,1,1,,2,11
Games Won,63,,3,1,2,2,9,,8,3,2,,,2,0,3,0,2,,1,1,7,1,1,,,9
Games Lost,34,,0,0,1,1,3,,9,0,1,0,0,1,0,4,3,,0,0,,2,0,0,,1,2
Hero Wins,63,,3,1,2,2,9,,8,3,2,,,2,0,3,0,2,,1,1,7,1,1,,,9
Environmental Kills,5,,,,,,4,,,,,,,,,,,,,,,,,,,,
Objective Time,3553,17,40,11,124,203,667,32,522,56,57,12,6,13,24,328,434,49,10,15,67,226,55,3,77,73,433
Eliminations,2157,21,77,43,69,86,323,11,365,55,85,3,18,75,7,137,66,42,23,20,41,192,34,27,15,30,292
Hero Damage Done,977294,6549,36614,17741,33544,38201,155689,7401,151253,26310,34973,2924,6408,32710,3801,74585,36495,17941,12083,9957,15940,78097,15408,10222,12516,20156,119776
Final Blows,1364,9,49,23,50,59,190,9,267,36,53,,7,51,3,86,40,22,6,9,25,111,28,21,12,15,183
Deaths,678,12,25,7,27,15,103,6,135,17,17,3,7,20,,64,20,8,9,8,13,81,14,9,5,15,37
Damage Done,977294,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,487,3,10,10,21,16,84,3,81,13,17,,2,10,3,38,29,14,6,2,12,41,6,4,3,8,51
Time Spent on Fire,12255,88,423,267,400,627,1885,101,1938,337,489,3,44,460,48,702,467,239,93,150,233,822,264,139,172,233,1630
Melee Final Blows,149,,2,,2,9,35,,36,,5,,,,,,9,2,,,4,29,,,5,4,5
