,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,51,29,36,22,12,12,31,42,39,6,33,32,,5,14,32,20,4,26,22,20,24,26,31,37,3,28,38,22,20,5,46,34,29,17,29,29
Final Blows - Most in Game,27,8,18,6,4,4,21,17,21,3,19,23,,2,4,11,7,2,11,3,13,17,12,19,9,2,14,19,10,14,3,24,22,12,9,16,17
All Damage Done - Most in Game,22926,6933,17010,8203,6195,3025,14907,15742,13835,6855,15052,12640,757,4287,3071,8479,13423,719,8682,11702,12297,7749,16596,14405,17998,2263,10376,19415,7060,11985,2177,16239,9558,9549,8382,16292,14544
Healing Done - Most in Game,14068,14068,,11926,586,6192,,11,,,218,,33,,3823,11309,526,9661,11853,,,1379,,5217,5,,,2388,610,,,,,,,,9445
Defensive Assists - Most in Game,31,28,,30,,,,,,,,,,,18,25,,30,21,,,,,,,,,4,,,,,,,,11,31
Offensive Assists - Most in Game,26,25,,6,,,,,,,,,,,,14,7,13,,8,,,6,12,,,,,17,,,,,,,10,26
Objective Kills - Most in Game,26,15,23,13,8,4,20,17,16,,21,10,,4,8,19,3,,19,8,11,9,14,12,12,,10,13,6,3,,23,12,14,11,18,16
Objective Time - Most in Game,395,235,172,263,35,12,171,261,169,14,206,99,,30,106,387,26,73,181,52,45,39,202,248,238,,103,130,127,49,4,188,106,167,95,347,152
Multikill - Best,5,3,3,3,,,3,4,4,,5,3,,,3,3,3,,4,4,4,3,4,,,,3,3,,3,,4,3,3,,4,3
Solo Kills - Most in Game,27,2,7,,,,9,8,7,,7,5,,,,3,,,4,,4,,3,7,2,,3,7,,,,7,10,3,3,4,4
Time Spent on Fire - Most in Game,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Final Blows - Most in Game,6,2,,,,,2,3,2,,4,2,,,,3,,,,,,,,5,,,,2,2,,,6,,3,2,2,2
