,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,genji,hazard,hanzo,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,49,20,3,25,16,31,19,34,48,9,44,33,11,33,28,42,,33,39,28,19,27,10,2,25,21,35,6,42,30,44,34,2,19,28,27,40,49,12,29,22,28,28,17,35,28
Final Blows - Most in Game,32,5,,22,7,18,9,26,20,5,32,22,5,18,19,31,,19,24,8,12,9,4,,10,10,22,5,32,21,17,15,,11,15,17,16,27,8,18,17,11,11,6,16,18
All Damage Done - Most in Game,31070,7312,1329,12225,7317,17767,5498,18972,20296,7841,15446,18372,3802,13055,22996,25073,186,27065,27697,9128,5255,9338,13626,230,8580,9210,25071,4809,19917,15174,22144,22066,1512,9433,11014,13023,17852,16458,9916,10454,11723,10531,11087,15151,12024,14060
Healing Done - Most in Game,17890,9899,,,9883,1000,8035,21,1552,1003,2343,657,239,160,,347,289,4300,,10466,12504,9407,188,17890,8193,,,,3362,,4913,,,1586,1952,,,274,295,45,,364,,9534,,8128
Defensive Assists - Most in Game,36,20,,,25,,,,,,,,,,,,,,,,23,16,,36,17,,,,,,,,,2,,,,,,,,,,,3,27
Offensive Assists - Most in Game,20,12,,,3,,,,,,,,,,,,,,5,,13,15,2,8,,5,,,,5,8,,,,15,,,,,,,,,,11,20
Objective Kills - Most in Game,28,11,,12,8,20,9,15,16,2,20,14,,15,10,14,,16,28,15,10,12,2,,10,6,17,,12,13,18,16,,7,15,18,17,26,2,7,7,10,12,5,13,17
Objective Time - Most in Game,275,134,8,79,207,136,162,165,119,26,131,73,8,141,78,154,,190,156,146,79,211,2,118,97,52,79,17,76,237,259,254,16,92,107,132,195,128,19,48,107,100,96,94,77,265
Multikill - Best,5,,,3,3,3,,4,4,,3,4,,4,3,5,,5,4,,,5,4,,3,,4,,5,3,3,4,,,3,3,4,4,,3,3,3,3,4,4,3
Solo Kills - Most in Game,32,2,,3,,2,3,8,9,,14,5,,6,3,8,,5,8,2,4,6,,,4,,7,,12,4,5,3,,3,6,7,6,11,2,3,9,4,3,,2,6
Time Spent on Fire - Most in Game,95,31,,46,31,,,65,25,51,65,67,27,42,40,36,,50,29,56,52,,,26,20,,37,41,47,25,38,95,,27,15,,45,49,30,48,38,24,,65,,32
Melee Final Blows - Most in Game,6,,,,,,,2,3,,4,,,2,,,,2,,,2,3,,,,,,,,,4,4,,,3,,3,5,,2,,2,2,,,
Environmental Kills - Most in Game,5,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,27,16,3,22,12,11,9,19,21,5,25,16,11,18,15,22,,15,21,9,11,16,6,2,16,10,18,6,17,13,17,27,2,14,18,18,18,21,5,13,15,12,14,6,19,20
Hero Damage Done - Most in Game,20419,5260,1202,11273,6786,10941,4635,13392,15240,7434,13462,11448,3472,9682,12582,20419,138,17921,15828,8262,4763,6739,2302,230,7861,5386,13429,3977,15935,12406,13479,11468,1410,6005,9003,8409,12219,13123,4937,9318,11592,8222,8565,4273,9410,10105
Barrier Damage Done - Most in Game,11552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,23,19,,,19,,,4,3,,9,2,,2,8,6,,16,5,13,23,10,,13,13,,4,,,4,4,4,,,6,,2,,3,2,4,,,15,,18
Objective Contest Time - Most in Game,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,10,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
Hero Damage Done - Avg per 10 Min,8314,3509,12286,10907,4194,10053,4075,10084,8840,12436,8409,10877,11270,8214,10032,10641,1511,14114,9817,4382,2906,5919,6600,117,6615,6608,9277,14099,11686,9195,7957,9862,7649,11009,5986,8316,11764,8567,7116,10683,7525,7766,7746,3925,9993,7145
Deaths - Avg per 10 Min,7.01,6.15,10.22,7.04,5.26,8.63,8.0,7.89,5.63,7.77,9.04,8.27,6.71,7.54,6.3,6.63,10.95,6.03,6.75,6.5,5.18,7.45,8.6,6.56,7.41,7.14,7.89,10.64,8.81,6.82,6.4,4.87,12.6,6.03,5.72,6.64,6.72,7.82,12.09,7.82,6.51,6.55,7.41,6.22,4.02,6.21
Eliminations - Avg per 10 Min,20.88,11.18,30.67,21.34,11.22,24.08,18.01,22.76,24.92,14.57,22.29,26.87,20.12,22.43,20.51,22.76,,30.96,20.25,12.8,9.08,18.66,28.67,0.7,18.89,17.68,21.78,21.27,28.99,25.95,20.25,23.69,12.6,26.52,20.35,24.27,27.81,21.98,15.45,29.06,18.94,23.08,18.86,12.17,31.71,18.85
Assists - Avg per 10 min,4.91,12.68,,0.95,17.39,,,1.23,3.01,,4.0,0.28,,0.45,3.66,3.36,,8.04,3.36,5.89,15.47,14.2,,19.23,13.2,,3.81,,,8.73,3.77,3.84,,,5.19,,1.21,,2.01,1.96,4.5,2.42,,15.42,,33.68
Healing Done - Avg per 10 Min,1824,7476,,,8979,923,7966,0.61,186,1854,470,308,796,9.64,,12.9,3159,2990,,6124,10023,6782,538,9387,7866,,,,1908,,4138,,,2058,1093,,,60.79,249,12.57,,57.47,,8052,,6147
Final Blows - Avg per 10 Min,11.62,2.79,,13.07,4.0,11.36,7.67,14.64,11.86,9.71,15.45,16.92,8.38,12.72,10.15,15.24,,16.08,13.37,3.86,3.77,6.44,11.47,0.47,5.93,6.12,12.84,17.73,19.08,15.35,10.45,11.39,4.2,16.27,9.54,12.8,13.44,12.68,10.75,17.32,12.51,10.16,7.32,3.52,15.18,8.05
Time Spent on Fire - Avg per 10 Min,22,5,,21,14,,,32,11,114,35,42,121,16,88,15,,121,6,85,20,,,24,17,,16,198,10,7,9,37,,16,1,,18,41,75,116,52,3,,155,,5
Objective Contest Time - Avg per 10 Min,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.97,0.5,,1.9,0.63,1.82,2.33,3.21,3.35,0.97,5.03,4.18,1.68,2.83,2.23,3.9,,2.41,4.29,0.41,0.83,1.81,,,1.3,0.34,3.28,3.55,4.59,1.89,2.55,1.3,,4.22,2.44,3.22,2.15,4.83,2.69,3.35,3.84,2.76,1.38,,1.79,1.78
Objective Kills - Avg per 10 Min,6.93,4.04,10.22,7.37,4.78,14.54,7.34,7.58,5.27,2.91,6.17,7.53,1.68,7.72,5.89,7.91,,10.45,6.31,5.08,3.77,6.11,5.73,0.23,5.74,5.1,8.1,,8.9,10.06,6.76,10.2,4.2,8.44,5.76,10.14,11.44,6.17,2.69,6.15,3.5,6.2,8.27,4.6,12.95,8.46
Objective Time - Avg per 10 Min,59,52,81,43,87,93,106,41,84,50,53,51,13,57,63,48,,112,42,52,38,83,7,43,56,42,38,61,58,123,84,135,78,96,31,52,70,40,24,42,22,65,92,67,71,74
