,all-heroes,ana,baptiste,bastion,brigitte,cassidy,dva,doomfist,emre,freja,genji,hanzo,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,32,19,19,8,23,10,4,19,19,,8,27,20,8,2,8,3,19,2,13,30,22,6,7,2,23,21,20,25,23,5,9,18,,6,28,28,11,18
Final Blows - Most in Game,22,4,6,4,10,9,,10,11,,6,22,9,5,,3,,2,,6,12,6,4,3,,15,8,12,11,15,3,3,9,,5,14,13,5,6
All Damage Done - Most in Game,19204,6941,4372,2560,7375,3776,2260,7680,10313,560,6006,9309,7040,8115,1989,3642,2455,3095,3097,15368,7663,10746,2442,6715,1120,10208,6628,13245,9345,13500,996,4258,7531,366,2090,9365,14625,8603,6981
Healing Done - Most in Game,9728,4379,6921,,8761,,,329,330,,,,900,,1518,4788,3500,7265,787,593,9536,,,,26,,2422,,,2325,,,,,,,,,4999
Defensive Assists - Most in Game,37,11,27,,,,,,,,,,,,,15,5,11,,,20,,,,,,,,,6,,,,,,,,7,19
Offensive Assists - Most in Game,16,16,2,,,,,,,,,,,2,,9,,6,,5,,11,,,,2,2,,,,,,,,,,,2,6
