,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,39,9,16,2,18,12,14,19,33,15,39,,20,26,26,9,20,,21,,11,10,14,15,6,19,31,24,13,31,24,15,29,10,14,3,23,32,28,13,32,14
Final Blows - Most in Game,31,4,7,,11,6,9,10,22,10,31,,15,16,15,7,12,,8,,7,5,3,11,5,10,21,12,3,23,14,6,13,5,6,,19,17,19,7,15,11
All Damage Done - Most in Game,19874,2581,6034,1923,19214,4912,8832,13571,13212,5864,14315,1054,9858,6968,8524,5522,5306,300,7445,5102,1813,3208,7966,5465,5045,10255,13196,12461,6649,9959,7361,7455,14549,2326,7110,3803,8318,9594,15869,9197,19874,7685
Healing Done - Most in Game,13006,5694,,2789,1428,4837,,758,304,344,233,,,4592,2150,,4723,801,9866,112,13006,5343,,,275,1131,,832,,,1038,1349,,,,,,1371,1474,7129,,3206
Defensive Assists - Most in Game,27,9,,,,,,,,,,,,,,,15,,16,,27,5,,,,,,,,,3,,,,,,,,,,16,11
Offensive Assists - Most in Game,22,10,,,,,,,,,,,,2,,2,5,,16,,22,,10,,,,4,8,,,,10,,,,,,,,,7,11
