,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Damage,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5
Support,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,54,26,25,52,18,21,28,39,38,10,35,31,29,26,43,28,36,2,17,37,18,3,33,34,9,14,32,3,11,39,17,24,30,27,26,28,51,48,23,6,28,28,41,27,37,23,54,18,24,27
Final Blows - Most in Game,39,11,10,32,10,12,11,26,29,6,23,24,17,21,27,13,26,,8,26,13,,18,20,5,10,13,2,3,23,8,19,19,16,20,12,39,37,20,3,18,19,29,16,28,11,32,9,8,16
All Damage Done - Most in Game,29728,8851,10461,25430,9268,14270,5237,17731,17417,7212,13662,18069,16985,14979,19590,17146,15701,1375,6291,17403,10570,3698,8899,11343,4742,24441,5936,1458,3567,12114,8171,10040,23577,11430,15264,10726,29728,22012,5775,3830,13650,9733,22217,10685,12068,5335,26449,10825,9474,11322
Healing Done - Most in Game,14716,14716,803,,5378,2137,3916,135,,1405,96,202,1303,663,578,2407,250,649,5934,5931,,2492,8076,6873,828,1931,6215,1854,,,,1580,,1773,,,,2555,2109,,,10,518,,,,2450,7120,,4606
Defensive Assists - Most in Game,33,27,,,23,,,,,,,,,,,,,,7,,,,24,19,,,20,5,,,,,,,,,,6,,,,,,,,,,,5,25
Offensive Assists - Most in Game,19,15,,,2,,,,,,,,,,,,,,4,,4,,12,15,2,3,13,,5,,5,,4,6,,,,,9,,,,,,,,,,5,19
