,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Support,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,47,25,24,37,34,28,27,40,38,32,33,38,28,24,43,42,36,30,22,41,38,23,29,23,34,24,31,17,25,34,40,40,41,43,38,41,41,18,38,35,26,32,29,29,24,22,32,38,36,24,39,37
Final Blows - Most in Game,36,10,13,21,16,19,18,31,22,10,17,25,21,14,31,21,27,16,10,21,29,13,16,5,11,14,15,8,9,19,20,36,22,35,20,24,18,11,19,24,15,16,18,14,15,10,21,21,18,6,23,16
All Damage Done - Most in Game,50972,9035,12748,17565,13940,20997,8711,19737,21064,22952,13763,21349,21262,19632,18018,35196,22606,9057,11325,27111,19503,7320,11389,6169,8103,19009,50972,4436,11711,10045,19976,22020,27588,15503,21363,24502,30497,14376,21090,17451,10568,11536,18755,10304,16428,7975,11757,14065,13667,7905,16557,14519
Healing Done - Most in Game,15542,11078,,,14766,1349,10925,299,2312,2508,2032,806,1030,486,754,2466,750,10868,8687,4867,,8530,13773,15542,9812,2405,2183,15157,12784,14328,327,,1684,3348,,8519,,302,,2295,1496,137,,108,162,150,,1882,1849,9960,,11463
Defensive Assists - Most in Game,40,22,,,30,,35,,,,,,,,,,,,15,,,,39,40,21,16,,36,29,29,,,,,,4,,,,9,,,,,,,,,,,17,37
Offensive Assists - Most in Game,31,20,,,8,,,,,,,,,,,,,5,14,,9,,13,5,17,12,16,31,,,9,,8,,6,11,,,,,10,,,,,,,,,,7,25
Objective Kills - Most in Game,28,16,8,15,20,15,11,18,11,9,12,16,15,15,21,13,17,14,6,19,18,11,16,14,13,15,19,6,19,24,19,17,18,19,13,16,20,6,17,17,11,14,12,17,6,5,14,15,15,11,26,15
Objective Time - Most in Game,382,202,146,160,199,163,217,174,200,162,214,144,84,94,158,148,151,147,152,324,149,156,232,157,205,223,192,171,165,203,273,158,221,113,271,311,365,42,178,149,62,112,143,110,51,82,155,243,144,154,250,191
Multikill - Best,6,3,3,4,4,5,4,4,4,3,4,4,6,3,4,3,4,3,3,5,4,3,3,3,4,4,4,4,3,4,4,4,5,4,5,5,5,,4,4,3,3,3,3,,4,3,3,3,4,4,4
Solo Kills - Most in Game,36,6,,6,4,5,7,10,5,3,4,7,6,3,9,4,8,5,2,6,13,2,5,3,4,3,6,4,3,5,4,11,4,10,5,7,5,4,11,9,7,3,6,5,5,5,8,5,8,2,3,8
Time Spent on Fire - Most in Game,112,89,36,77,71,66,80,87,65,103,50,64,65,48,73,69,73,67,60,68,63,65,88,62,62,76,39,92,48,68,68,73,71,93,74,77,112,47,87,76,51,51,54,49,35,56,66,106,62,65,71,78
Melee Final Blows - Most in Game,8,3,2,2,2,2,,3,4,2,5,3,2,2,6,2,2,2,3,5,2,2,3,2,4,3,3,5,,3,2,,2,2,,6,4,,3,2,3,,,5,,2,2,4,8,,2,8
Environmental Kills - Most in Game,8,,,3,,,2,,,,3,,,,,,,,2,,,,,,4,,,,,,2,5,,,2,8,2,,,,,,,,,,,,2,,,
Kill Streak - Best,33,18,8,20,15,14,17,21,27,19,16,17,18,16,21,20,16,19,11,24,17,13,23,13,13,24,18,9,12,28,24,26,19,21,20,28,22,9,24,20,22,16,18,15,8,19,17,33,24,11,23,18
Hero Damage Done - Most in Game,21773,7802,12748,15887,9990,13809,7204,19416,14024,14236,11189,14990,14586,12909,14996,14892,16230,8176,6748,21773,16523,6095,10043,3760,7683,16942,9306,3616,9433,8737,15275,17549,19403,14245,17485,17446,19378,12130,17042,13754,8336,8856,13938,9969,9509,7079,10773,13751,10519,6937,14972,13020
Barrier Damage Done - Most in Game,11660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,41,26,,11,25,4,34,6,19,3,10,3,,3,2,12,13,12,16,22,9,18,38,38,23,16,16,41,27,26,9,10,8,,6,11,6,,7,7,10,10,3,,5,2,10,8,10,24,17,36
Objective Contest Time - Most in Game,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,11,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Hero Damage Done - Avg per 10 Min,6814,3416,8110,8884,4710,9698,3708,8642,8979,10789,7228,8041,10573,8896,7065,10713,7020,5745,3237,10091,8369,4038,3663,1871,3698,10556,6603,713,5241,5696,9962,9144,10721,7906,8650,9004,10516,9952,8765,8762,5093,7441,9183,5652,6285,6686,5570,8467,7303,5042,9011,5574
Deaths - Avg per 10 Min,6.33,5.43,7.69,6.83,5.78,8.19,6.45,7.78,4.23,5.56,7.29,7.1,6.72,5.82,7.02,5.12,6.6,5.22,4.71,5.69,7.29,4.33,5.5,4.49,7.4,5.74,6.7,5.02,5.35,5.43,6.64,6.8,5.75,7.5,6.18,5.48,4.57,6.49,6.78,6.9,5.69,7.9,6.97,7.75,9.04,7.29,7.13,5.91,4.78,4.65,6.13,7.04
Assists - Avg per 10 min,6.61,12.16,,2.45,13.62,1.23,18.04,0.95,7.91,0.74,4.06,0.5,,0.45,0.1,3.95,4.88,6.17,9.26,7.69,3.03,11.06,14.75,13.98,10.12,9.93,5.44,18.49,17.79,11.98,4.44,2.79,3.02,,1.84,4.04,2.88,,1.72,1.74,6.14,5.38,0.36,,2.61,1.09,3.12,3.55,4.11,10.46,6.91,18.04
Eliminations - Avg per 10 Min,16.73,10.8,16.88,17.76,14.23,19.36,12.57,19.95,22.52,19.1,16.98,20.24,19.47,15.61,18.86,23.11,15.76,15.69,11.66,23.24,17.96,14.13,11.54,7.31,13.44,19.05,18.86,3.3,13.32,20.2,19.91,21.82,22.58,21.58,18.33,19.69,20.69,15.95,19.9,20.84,16.03,22.38,18.35,16.25,13.21,13.76,14.46,20.87,17.38,11.25,19.76,15.67
Healing Done - Avg per 10 Min,2602,6267,,,7085,74.03,7195,9.59,250,2261,251,115,587,39.09,29.44,685,9.92,6659,5867,2130,,6662,7236,8349,5794,1796,1110,7430,9372,7218,13.41,,139,1476,,5161,,79.06,,1242,700,30.74,,2.57,65.58,13.67,,182,208,6984,,5795
Final Blows - Avg per 10 Min,8.59,3.23,8.12,9.66,5.5,10.99,4.92,12.87,10.69,7.6,8.1,12.28,10.37,7.78,10.78,12.02,9.73,7.58,3.22,11.3,11.66,4.07,4.7,1.89,3.72,7.45,9.55,1.61,3.22,7.17,9.42,13.75,11.69,13.45,11.08,10.63,9.35,7.89,10.11,11.84,7.65,9.62,9.31,7.44,6.78,7.56,9.07,9.61,8.17,2.88,8.23,6.75
Time Spent on Fire - Avg per 10 Min,70,52,83,74,60,40,49,76,116,144,72,56,102,73,72,126,69,77,77,107,56,76,56,57,26,130,56,84,121,27,58,73,110,32,98,104,114,113,67,68,42,30,63,24,55,60,46,98,66,78,67,63
Objective Contest Time - Avg per 10 Min,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.52,0.53,0.64,1.59,0.88,1.28,0.87,2.19,1.55,0.56,1.17,1.86,0.84,0.9,2.05,1.28,2.34,1.39,0.87,1.12,3.16,0.26,0.95,0.39,0.69,0.9,1.87,0.38,0.55,1.64,0.64,2.56,0.96,2.92,1.22,1.19,0.91,1.75,1.49,2.15,2.35,1.43,1.8,1.64,1.91,1.82,3.03,1.37,1.98,0.28,0.71,1.4
Objective Kills - Avg per 10 Min,5.2,3.89,3.85,5.18,5.29,6.94,4.05,6.02,4.45,5.29,4.97,5.43,5.45,4.67,5.24,5.76,4.85,4.18,2.71,7.48,6.03,5.0,4.05,2.92,5.08,6.89,7.98,0.81,4.91,7.51,7.8,5.39,7.0,7.68,4.9,6.35,7.43,2.98,6.44,6.07,4.74,9.03,5.62,5.03,2.61,2.82,3.09,5.94,5.63,3.91,7.17,5.62
Objective Time - Avg per 10 Min,55,49,63,40,53,62,75,44,84,64,76,40,28,34,50,75,36,48,32,87,44,45,57,47,72,95,82,41,45,74,93,31,96,60,89,83,101,20,46,35,31,55,46,43,22,39,23,97,81,39,103,64
Time Played,3282878,194777,2809,128835,96281,23431,38675,210597,39002,6470,50697,67745,13651,11957,186338,16874,129432,33576,11732,109682,69504,18724,186042,38490,63898,14017,24366,155670,10994,67261,37404,122769,42497,43285,53192,129435,79264,3423,113702,86079,27842,14287,36909,32575,3452,6585,164036,47897,26001,12904,34641,143170
Games Played,6620,395,5,264,192,44,78,420,77,14,100,136,31,24,348,33,261,70,24,219,138,37,373,78,119,28,50,321,22,139,78,246,82,82,115,259,166,7,232,175,59,28,78,62,7,14,340,94,56,25,72,304
Games Won,3409,188,2,132,103,26,40,225,37,6,45,77,17,13,192,19,131,40,6,130,72,19,193,33,55,14,24,137,15,83,38,146,53,42,67,127,95,3,107,93,27,19,44,25,2,4,146,47,26,14,31,180
Games Lost,3210,207,3,132,89,18,39,195,40,8,55,59,14,11,156,14,130,30,17,89,66,17,180,45,64,14,26,183,7,56,40,100,29,40,48,132,71,4,126,82,32,9,34,37,5,9,194,47,30,11,41,124
Hero Wins,3409,188,2,132,103,26,40,225,37,6,45,77,17,13,192,19,131,40,6,130,72,19,193,33,55,14,24,137,15,83,38,146,53,42,67,127,95,3,107,93,27,19,44,25,2,4,146,47,26,14,31,180
Environmental Kills,366,2,,7,,,6,2,4,,32,,,,,3,,,9,9,4,,,,38,,,,,,8,89,,,18,109,6,,,,,,,,,,,5,5,,,
Objective Time,303138,15980,294,8560,8457,2424,4852,15350,5449,692,6421,4539,645,678,15459,2119,7824,2704,620,15905,5112,1411,17547,2986,7691,2217,3322,10545,818,8342,5823,6317,6788,4301,7933,18011,13326,116,8769,4958,1457,1301,2816,2333,128,431,6209,7739,3495,831,5936,15159
Eliminations,91557,3507,79,3813,2284,756,810,7001,1464,206,1435,2285,443,311,5857,650,3399,878,228,4249,2080,441,3578,469,1431,445,766,855,244,2265,1241,4464,1599,1557,1625,4248,2733,91,3771,2990,744,533,1129,882,76,151,3952,1666,753,242,1141,3740
Hero Damage Done,37280153,1108974,37965,1907705,755817,378709,238981,3033283,583647,116340,610757,907890,240541,177272,2194088,301291,1514400,321488,63285,1844630,969517,126017,1135674,120038,393863,246615,268125,185047,96028,638575,621021,1870942,759366,570372,766827,1942370,1389181,56775,1660996,1257116,236356,177197,564871,306863,36153,73384,1522721,675885,316472,108442,520271,1330012
Final Blows,46982,1050,38,2074,882,429,317,4519,695,82,684,1387,236,155,3348,338,2099,424,63,2066,1351,127,1458,121,396,174,388,419,59,804,587,2813,828,970,982,2294,1235,45,1916,1698,355,229,573,404,39,83,2479,767,354,62,475,1611
Deaths,34629,1763,36,1467,928,320,416,2732,275,60,616,802,153,116,2181,144,1423,292,92,1041,845,135,1705,288,788,134,272,1303,98,609,414,1392,407,541,548,1182,604,37,1285,990,264,188,429,421,52,80,1948,472,207,100,354,1680
Damage Done,37280153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
