,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4,gold 4
Damage,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Support,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,40,13,11,11,18,22,3,29,24,12,4,15,19,11,8,13,18,,30,14,11,13,21,11,16,15,2,19,19,18,17,21,14,15,27,23,4,19,15,40,8,3,27,17,8,18,23,11,23,17,15
Final Blows - Most in Game,24,6,8,7,9,13,,17,9,3,,8,9,5,4,7,8,,9,7,3,5,5,2,7,4,,7,6,11,8,6,11,11,17,8,2,7,9,22,4,2,15,11,6,11,11,4,8,7,7
All Damage Done - Most in Game,29101,4590,3845,7066,5767,13576,1533,15339,11464,6304,1723,6481,11564,6978,7178,6450,6857,558,14861,15606,3135,6893,2886,4137,6523,27557,359,8797,8509,13339,8224,6118,9333,12083,14635,16313,1602,11449,14162,12573,6709,1869,9411,12475,4472,6361,12253,8703,9972,13610,5246
Healing Done - Most in Game,14276,7734,,,5292,1009,2437,497,2556,921,371,174,839,365,75,159,5364,425,2097,,3968,11847,8371,2557,1187,1297,14276,13106,6250,,,225,1236,,5775,,,,1688,640,764,,165,405,,,312,,7189,,4257
Defensive Assists - Most in Game,28,13,,,7,,6,,,,,,,,,,,,,,,22,27,3,4,,27,25,18,,,,,,,,,,4,,,,,,,,,,,5,16
Offensive Assists - Most in Game,15,5,,,2,,,,,,,,,,,,4,,,2,,10,,2,5,4,13,,,5,,2,,2,10,,,,,14,,,,,,,,,,5,6
Objective Kills - Most in Game,21,11,2,3,10,10,3,16,15,8,,7,7,8,5,3,8,,21,9,7,11,10,8,9,3,,10,10,13,10,13,3,6,16,13,,12,13,20,4,,12,7,3,7,6,9,14,13,13
Objective Time - Most in Game,335,74,6,19,113,51,22,290,335,22,18,74,92,42,93,70,124,13,255,52,80,148,43,87,98,85,75,191,170,179,130,155,35,311,210,293,7,54,99,95,79,1,83,84,27,44,221,158,9,119,161
Multikill - Best,5,,,,,4,,4,4,3,,,3,,,,3,,3,,,3,4,,5,,,3,3,5,,,4,,4,,,3,3,4,,,3,3,3,,3,,3,3,
Solo Kills - Most in Game,24,2,,3,3,,,7,3,,,2,4,,2,4,2,,,,,,,,,,,,3,2,3,2,6,2,4,,,2,,9,,,10,5,,5,2,,,,
Time Spent on Fire - Most in Game,76,39,15,35,36,37,3,61,33,50,,63,74,55,24,36,37,,51,21,37,44,28,76,44,21,27,51,49,46,44,58,29,64,62,47,15,48,43,62,31,15,58,27,24,39,40,39,32,27,69
Melee Final Blows - Most in Game,5,,,,,,,2,,,,,,2,,,,,3,,,2,,,,,,2,2,,,,,,4,,,,,2,,,5,,,,,,,,
Environmental Kills - Most in Game,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,21,9,3,11,6,9,2,13,21,12,4,8,13,5,4,8,14,,13,6,5,10,10,11,10,7,1,9,8,11,17,12,8,14,21,16,3,7,6,20,7,3,16,11,6,7,11,6,14,7,8
Hero Damage Done - Most in Game,15298,4261,2860,6464,5017,13576,1533,12991,11317,5064,1433,6239,8641,6392,4330,5918,4841,558,11030,10804,2350,6375,2880,4137,6495,7506,359,7380,8034,9605,8021,5521,6816,10923,12610,15298,1602,10227,10052,12047,4498,1461,8016,6158,4472,6005,11110,7248,9923,12508,5246
Barrier Damage Done - Most in Game,7360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,29,15,,3,6,3,5,6,12,,,,3,,,2,10,,12,2,8,25,23,5,7,4,28,22,16,5,3,2,,2,10,3,,2,3,15,,,2,3,,4,2,,22,8,15
Objective Contest Time - Most in Game,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Hero Damage Done - Avg per 10 Min,7181,3412,5607,8283,5600,12735,2850,9066,9239,8091,4278,7774,11504,7330,5388,7646,4836,2476,10064,8859,3755,3259,3280,4539,12111,7427,151,5884,6506,9926,9932,8031,7660,8683,10502,9393,7072,7430,9165,6816,5456,6738,6201,6102,8223,4968,8176,8355,7912,8225,5096
Deaths - Avg per 10 Min,7.45,7.03,7.84,8.08,8.13,9.12,8.02,8.81,6.14,5.7,13.94,10.01,6.41,9.36,8.97,8.51,7.16,17.64,6.91,7.13,6.64,6.99,3.0,8.0,5.86,7.46,8.13,5.43,6.94,6.86,6.58,9.92,9.15,6.89,5.2,5.96,13.25,8.27,9.99,7.32,8.08,9.23,6.76,9.07,10.9,7.99,9.71,6.91,2.95,7.13,8.48
Assists - Avg per 10 min,5.86,11.91,,2.24,7.48,2.78,16.04,1.48,5.07,,1.55,,0.71,0.67,,1.76,6.97,,6.28,1.36,10.43,15.48,23.28,3.5,9.05,3.32,13.9,18.15,9.57,3.1,1.57,0.83,,1.06,5.02,1.46,,0.97,1.71,7.11,0.73,,0.14,2.12,,2.18,1.16,,17.72,4.28,15.9
Eliminations - Avg per 10 Min,15.42,8.69,21.56,11.22,15.93,24.99,5.35,17.26,19.12,17.1,9.3,9.1,23.74,10.7,6.17,13.79,11.62,,18.21,12.9,15.17,8.35,17.28,8.5,25.03,12.44,0.64,14.43,14.97,16.72,17.23,14.88,13.53,12.37,21.51,14.01,17.66,13.38,12.7,20.61,11.01,13.84,17.45,15.73,9.68,11.26,14.37,13.83,17.23,10.27,12.72
Healing Done - Avg per 10 Min,2076,5505,,,4530,952,7515,27.57,329,1552,575,79.18,1006,244,21.02,46.74,4867,2944,1585,,7618,7577,7729,4573,1553,1528,8099,9835,5848,,,93.02,1332,,4668,,,,1415,156,563,,73.36,386,,,161,,5847,,4660
Final Blows - Avg per 10 Min,7.38,2.26,15.68,5.83,7.48,11.5,1.34,10.25,7.31,4.56,3.1,5.46,12.11,6.69,2.24,6.16,4.26,,7.38,5.43,2.84,2.88,4.51,1.0,12.78,3.32,,4.72,4.63,7.42,8.77,4.55,8.36,7.25,11.11,5.12,8.83,5.11,5.71,11.16,3.67,9.23,8.05,10.89,7.26,7.26,5.82,3.46,5.42,4.85,4.5
Time Spent on Fire - Avg per 10 Min,89,56,93,63,106,152,8,95,100,76,,42,134,53,17,85,56,,118,46,115,69,81,53,166,72,50,108,64,102,113,53,75,147,145,106,70,57,75,102,51,86,68,93,68,62,86,76,113,54,98
Objective Contest Time - Avg per 10 Min,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.67,0.24,1.96,2.24,1.95,0.4,,2.63,1.56,,,1.37,3.8,,0.56,2.05,0.97,,0.94,0.34,,0.3,,,,,,0.43,1.23,0.89,2.51,1.24,2.79,0.71,1.06,0.1,4.42,0.49,0.43,3.63,1.47,,2.43,3.33,,2.54,0.78,0.69,,0.29,
Objective Kills - Avg per 10 Min,5.84,4.29,3.92,2.69,7.15,11.9,4.01,6.22,5.66,10.26,,4.1,6.65,6.02,2.8,3.81,5.62,,8.0,6.45,7.58,3.81,7.51,4.5,13.85,2.49,0.21,6.0,6.02,7.64,7.83,8.27,3.18,4.24,9.78,6.9,4.42,6.32,6.85,5.83,3.67,4.61,5.27,5.75,3.63,3.45,5.05,7.61,8.86,7.13,7.95
Objective Time - Avg per 10 Min,71,49,12,16,66,47,58,65,130,29,58,64,38,49,62,49,94,50,201,41,92,71,50,77,127,70,42,82,73,86,60,110,41,201,133,99,30,43,73,36,60,6,42,65,50,18,137,151,9,84,110
Time Played,181595,5038,306,1337,1846,1513,449,25065,6152,526,387,1318,2527,897,2141,2045,3099,170,3823,1767,633,18102,799,1200,1127,723,2805,4199,3888,5419,1915,1451,1508,3394,6808,5741,136,2467,4205,31065,817,130,8873,1984,496,3305,1545,868,1219,2103,2265
Games Played,354,11,,3,3,3,1,48,11,1,1,3,6,1,4,5,4,0,7,3,1,33,1,2,2,1,5,9,7,11,5,4,3,6,15,10,0,4,9,64,1,0,16,3,1,7,3,2,2,4,4
Games Won,178,6,,2,1,,1,22,5,,,1,5,0,0,2,2,,3,1,,15,1,1,1,,1,7,4,4,2,1,1,3,10,5,,,4,40,1,,9,1,,4,1,2,2,2,2
Games Lost,176,5,0,1,1,2,0,27,5,1,1,2,2,1,3,3,2,0,5,2,1,18,0,1,1,1,4,2,3,7,3,2,2,3,5,6,0,3,5,24,0,0,8,2,1,3,2,0,0,2,2
Hero Wins,178,6,,2,1,,1,22,5,,,1,5,0,0,2,2,,3,1,,15,1,1,1,,1,7,4,4,2,1,1,3,10,5,,,4,40,1,,9,1,,4,1,2,2,2,2
Environmental Kills,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,
Melee Final Blows,114,,,,,,,15,,,,,,3,2,,,,5,,,7,,,,,,7,5,3,,,,,20,,,,,15,,,25,,,,,,,,2
Solo Kills,505,2,,5,6,,,110,16,,,3,16,,2,7,5,,6,,,9,,,,,,3,8,8,8,3,7,4,12,,,2,3,188,2,,36,11,,14,2,,,,
Objective Time,21508,415,6,36,202,119,44,2728,1328,25,38,142,158,73,222,168,484,14,1281,122,97,2152,67,154,239,85,196,576,475,772,191,265,104,1137,1507,949,7,177,513,1877,82,1,626,216,41,101,352,218,18,294,414
