,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Damage,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Support,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,54,27,34,38,27,52,21,49,28,21,43,49,28,10,50,40,36,19,42,26,28,29,29,32,39,25,6,15,36,43,53,37,31,45,33,41,15,42,53,32,23,33,48,26,29,37,17,44,45,33
Final Blows - Most in Game,40,13,19,29,12,34,8,34,15,8,27,30,18,5,33,26,18,6,22,17,9,11,5,10,18,16,3,6,12,23,40,18,19,30,22,25,8,27,31,18,12,16,29,15,16,33,11,23,22,15
All Damage Done - Most in Game,38346,9892,14870,27788,9498,38346,6303,27790,12447,31972,22895,32205,18529,6999,24318,22061,13317,6496,20684,21130,11922,10183,6440,9399,20903,27557,1116,8807,10626,18734,26764,17684,15734,25876,13392,24083,11296,25508,29551,17763,15203,19479,19124,11887,15423,15042,9013,32367,23896,14336
Healing Done - Most in Game,20573,18087,840,,10497,2416,9125,286,23,3905,1260,1145,985,86,389,793,14347,7983,4444,,17204,17248,15247,12894,3655,1905,14744,8472,18108,354,,675,2693,,7244,28,,,3525,2392,330,,,499,,,102,500,,9818
Defensive Assists - Most in Game,39,32,,,33,,26,,,,,,,,,,,5,,,,36,34,17,19,,35,19,35,,,,,,,,,,9,,,,,,,,,,16,31
Offensive Assists - Most in Game,29,24,,,6,,,,,,,,,,,,7,3,,6,,17,2,12,14,9,20,,,12,,8,,8,12,,,,,14,,,,,,,,,13,26
Objective Kills - Most in Game,31,18,18,18,11,17,6,23,15,13,20,17,12,3,27,16,15,3,19,11,16,16,14,14,11,11,2,3,14,19,21,22,13,21,16,21,5,18,30,17,16,16,26,6,14,13,9,24,18,15
Objective Time - Most in Game,386,244,119,161,141,187,221,175,149,73,236,197,101,42,179,162,194,66,152,108,179,238,151,176,166,160,137,47,173,346,107,246,181,296,194,311,59,146,175,123,169,160,179,57,154,140,142,280,309,192
Multikill - Best,6,5,4,5,3,3,3,5,3,,4,4,3,3,6,5,4,,4,4,5,3,,3,3,4,,,4,4,4,3,4,5,3,5,,5,6,4,3,4,4,,3,4,3,5,5,4
Solo Kills - Most in Game,40,3,6,10,2,4,,11,2,2,9,7,2,2,12,10,4,4,12,5,2,3,,5,2,4,,,3,4,9,3,9,5,6,4,,8,9,10,4,4,12,2,7,15,3,10,5,7
Time Spent on Fire - Most in Game,152,122,49,73,57,46,79,108,40,72,96,62,32,15,88,78,96,51,108,66,75,63,51,56,49,50,49,50,58,61,91,92,58,81,67,103,39,75,71,52,42,61,86,38,55,79,79,91,72,152
Melee Final Blows - Most in Game,8,3,2,,,,,2,2,,6,3,,,5,3,2,,5,,2,2,,3,2,,,,2,5,,2,2,,4,5,,2,2,3,,2,8,,3,2,3,5,,2
Environmental Kills - Most in Game,6,,,,,,,,,,6,2,,,,,3,2,,,,,,5,,,,,,3,5,,,3,5,,,,,,,,,,,,,6,,
Kill Streak - Best,33,18,21,20,12,17,11,25,19,10,24,16,8,6,24,22,17,9,22,12,28,14,12,16,16,21,3,14,21,20,24,23,16,21,16,23,14,26,26,20,19,16,30,8,11,21,10,33,24,16
Hero Damage Done - Most in Game,26338,9522,11474,24815,5640,26338,6180,18953,10384,14000,19568,23206,18358,6629,19529,17111,13049,6496,18189,14551,8398,8781,4911,7557,18850,9284,840,7906,10460,18214,22977,14222,13419,20401,9791,17109,11096,18439,20790,11227,11458,13585,16405,10971,13706,12528,8793,21279,17951,10997
Barrier Damage Done - Most in Game,16072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,39,37,,9,24,2,22,5,11,,12,4,,,13,9,16,8,15,6,33,36,31,20,21,9,36,17,31,10,7,8,,8,5,8,,9,5,11,6,2,10,4,6,12,6,13,15,29
Objective Contest Time - Most in Game,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,17,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
Hero Damage Done - Avg per 10 Min,8608,3282,8725,10727,4263,12117,4190,10165,9494,13440,9665,10915,13322,7375,8779,9758,6378,5158,11680,9886,5355,3726,1562,5378,13374,8128,317,7459,5229,10537,10897,10987,10262,10079,8471,10806,11089,9587,11064,5849,9097,11301,7650,8629,8834,6905,8948,9411,11335,6707
Deaths - Avg per 10 Min,7.82,5.86,7.91,7.6,5.99,9.63,8.61,8.34,5.83,4.29,8.22,8.5,8.95,11.15,8.38,8.38,5.82,7.69,6.26,7.72,5.6,5.33,5.06,8.23,7.9,7.01,6.19,6.56,6.15,7.45,9.49,6.58,8.74,7.22,7.13,5.52,9.33,8.18,8.11,6.75,8.22,7.29,8.43,10.64,8.27,9.1,7.85,5.41,5.92,7.56
Eliminations - Avg per 10 Min,19.48,10.94,19.28,19.97,11.83,23.11,13.15,20.6,20.73,20.15,19.45,20.71,17.53,10.62,21.26,20.31,15.44,14.14,22.98,18.13,16.69,11.26,5.53,15.87,21.04,18.91,1.6,13.35,17.74,20.95,23.92,19.83,22.51,18.98,20.98,20.77,12.92,21.04,23.44,18.74,22.2,20.65,20.87,21.64,16.33,18.41,17.56,19.09,22.81,16.84
Assists - Avg per 10 min,4.28,14.04,,1.63,13.6,1.41,16.85,0.57,7.65,0.43,4.26,0.67,,,0.15,3.68,6.15,4.22,6.72,2.49,10.54,15.89,14.22,10.04,10.66,5.24,18.87,14.03,15.36,5.29,1.78,2.85,0.02,2.21,3.91,2.96,,1.99,1.06,6.17,3.71,0.19,0.05,2.13,1.43,3.2,3.18,4.86,6.3,17.95
Healing Done - Avg per 10 Min,1379,9042,407,,8382,659,7630,0.49,1.62,3180,320,120,819,82.94,5.47,5.91,8167,7323,2259,,10340,9475,10502,6737,2597,1271,10244,9290,10783,5.6,,294,2009,,4071,0.17,,,1258,850,38.86,,,353,,,4.28,2.56,,6111
Final Blows - Avg per 10 Min,10.42,2.87,10.38,10.62,3.41,13.76,4.07,12.08,8.88,9.0,10.01,11.55,10.44,5.31,11.97,13.07,6.77,4.96,11.48,11.21,4.53,3.93,0.93,4.03,8.52,8.86,0.48,5.66,4.6,9.75,14.86,10.03,12.78,10.67,10.72,9.68,6.46,11.22,12.36,8.17,10.12,9.91,10.32,13.13,7.9,12.48,7.69,8.58,9.93,6.99
Time Spent on Fire - Avg per 10 Min,42,48,96,47,57,19,63,34,72,208,84,63,114,35,19,20,72,100,109,74,113,76,52,62,137,84,59,150,77,35,37,106,38,74,25,100,116,59,17,30,24,48,33,100,82,23,70,73,85,61
Objective Contest Time - Avg per 10 Min,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.0,0.26,2.53,1.84,0.23,1.29,0.12,1.86,0.87,1.29,1.7,1.51,1.12,1.06,1.94,2.7,0.74,1.98,1.29,2.52,0.29,0.46,0.04,0.7,0.39,1.03,0.11,,0.48,0.87,2.59,0.75,2.27,0.86,2.06,0.87,,1.51,2.0,2.03,1.16,1.46,2.59,2.13,1.63,4.36,1.26,1.84,0.76,1.01
Objective Kills - Avg per 10 Min,5.57,4.01,5.13,5.69,4.32,9.19,3.61,6.24,5.01,11.14,5.07,5.17,6.71,2.12,5.34,5.73,5.6,0.99,7.85,3.98,6.64,4.35,2.42,5.81,7.11,5.98,0.34,3.17,6.6,7.76,6.42,8.51,7.53,5.69,7.23,6.91,3.59,6.16,6.4,5.61,9.34,6.43,6.34,4.61,4.63,3.62,5.63,6.13,8.99,6.12
Objective Time - Avg per 10 Min,47,48,45,37,51,65,83,36,92,72,65,45,82,31,54,33,52,39,82,26,77,54,59,79,76,66,44,25,59,109,30,108,77,85,69,93,45,39,26,33,64,30,52,44,54,18,102,86,94,59
Time Played,6600346,441328,9710,286877,15830,14827,5155,719684,13171,1400,254118,97674,1609,1130,720900,233380,78098,2419,43205,35438,20781,108496,28951,40373,10636,13958,21339,2652,50009,38029,170973,17701,30896,201425,36198,130802,836,182610,561237,58370,12919,27982,624352,1691,18001,789503,14284,243206,92266,73914
Games Played,12776,858,20,559,31,30,10,1336,26,3,474,197,3,2,1407,488,153,5,73,65,41,205,55,74,19,27,39,6,86,69,327,31,59,377,68,257,1,339,1110,113,24,60,1158,3,32,1655,27,459,171,145
Games Won,6721,437,10,302,14,12,5,665,14,,235,97,1,1,779,251,86,0,35,39,24,106,21,39,9,12,16,3,39,31,200,15,27,217,32,146,,161,592,56,11,36,579,2,19,922,7,244,89,84
Games Lost,6054,421,10,257,16,18,5,671,12,2,239,101,2,2,628,237,67,5,38,26,18,99,34,35,10,15,23,3,47,38,127,16,31,160,36,111,1,178,518,57,13,24,580,1,14,733,20,214,82,61
Hero Wins,4122,338,10,193,11,5,3,328,7,,218,65,1,1,396,82,86,0,35,33,24,106,21,38,9,11,13,3,37,28,153,15,22,156,7,113,,161,169,30,7,18,279,2,19,523,6,216,58,64
Environmental Kills,778,2,,13,,,,5,,,182,10,,,3,,4,5,2,2,,,,58,,,,,,27,205,,,87,53,6,,,3,3,,,,,3,,4,97,,
Objective Time,516068,35658,731,17636,1349,1599,717,43762,2022,168,27340,7251,219,58,64706,12779,6819,157,5917,1519,2654,9833,2845,5316,1354,1537,1552,110,4958,6896,8535,3176,3978,28406,4159,20265,63,12002,24146,3205,1388,1410,53825,124,1620,23077,2416,35010,14517,7284
Eliminations,214254,8045,312,9546,312,571,113,24706,455,47,8236,3371,47,20,25538,7901,2010,57,1655,1071,578,2036,267,1068,373,440,57,59,1479,1328,6815,585,1159,6372,1266,4527,18,6403,21922,1823,478,963,21714,61,490,24220,418,7740,3507,2075
Hero Damage Done,94689999,2413866,141205,5129013,112484,299438,36004,12192751,208396,31354,4093575,1776904,35714,13894,10548291,3795470,830210,20795,841029,583883,185473,673768,75347,361869,237082,189091,11274,32969,435837,667834,3105199,324146,528448,3383622,511044,2355735,15449,2917743,10349030,569017,195864,527055,7960372,24325,265035,9086278,213025,3814539,1742998,826253
Final Blows,114601,2109,168,5078,90,340,35,14494,195,21,4238,1881,28,10,14384,5083,881,20,827,662,157,710,45,271,151,206,17,25,383,618,4234,296,658,3582,647,2110,9,3414,11564,795,218,462,10734,37,237,16428,183,3478,1527,861
Deaths,86033,4313,128,3632,158,238,74,10009,128,10,3481,1384,24,21,10074,3259,757,31,451,456,194,964,244,554,140,163,220,29,513,472,2704,194,450,2425,430,1204,13,2489,7588,657,177,340,8771,30,248,11971,187,2192,911,931
Damage Done,94689999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,61302,2948,83,2719,114,227,31,7486,110,26,2149,842,18,4,6419,2229,729,4,565,235,230,787,117,391,126,139,12,14,550,492,1828,251,388,1909,436,1506,5,1875,5982,546,201,300,6602,13,139,4769,134,2486,1382,754
Time Spent on Fire,465730,34975,1559,22674,1515,475,545,40771,1580,485,35514,10215,305,66,23175,7941,9380,402,7842,4393,3918,13669,2516,4176,2432,1963,2100,662,6437,2198,10562,3122,1956,24762,1518,21894,161,17976,15604,2883,522,2223,34286,282,2474,30015,1671,29387,13078,7471
