,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Damage,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Support,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,40,14,29,9,10,,40,39,14,6,29,28,24,20,17,20,8,12,34,19,2,11,22,19,13,26,14,31,,14,22,12,9,19,17,6,26,23,7,22,9
Final Blows - Most in Game,27,5,17,5,6,,25,23,10,2,22,20,13,12,4,12,2,7,24,5,2,3,3,16,2,15,9,19,,7,13,5,5,9,9,5,19,9,2,11,5
All Damage Done - Most in Game,23615,5117,12720,2823,8877,1279,11012,17231,6131,7891,13033,10338,9288,7048,4563,4800,1844,3754,23615,4360,338,3016,14525,7682,3566,9296,7290,10924,2172,6687,4868,6393,4546,8374,10068,8411,9970,11189,1835,9802,3352
Healing Done - Most in Game,16948,16948,,2702,1763,2522,,21,360,,38,,1370,,9131,9526,11392,3482,4633,1785,14193,8648,,,,1128,,8478,,,2097,1590,8,,,,,,,,3063
Defensive Assists - Most in Game,27,18,,7,,,,,,,,,,,,27,17,5,18,,23,16,,,,,,,,,,,,,,,,,,9,14
Offensive Assists - Most in Game,15,13,,,,,4,,,,,,,2,,9,,3,12,4,3,,15,,3,,3,7,,,,6,,,,,,,,3,11
Objective Kills - Most in Game,19,8,13,,3,,13,9,11,,13,10,19,12,9,9,6,9,14,8,,5,14,13,6,10,7,14,,2,10,3,7,8,9,2,9,9,4,11,
Objective Time - Most in Game,395,96,152,15,19,40,77,97,39,8,79,100,138,54,31,93,160,117,175,57,69,58,246,78,142,64,131,219,7,12,43,27,98,51,33,38,36,132,45,58,38
Multikill - Best,5,,,3,,,4,4,,,3,3,,3,,,,,,,,,3,3,,4,,,,,4,,,5,4,,3,,,3,
Solo Kills - Most in Game,27,3,9,,3,,7,6,5,,7,9,,6,,3,,2,4,2,2,2,,5,,4,4,4,,2,7,2,2,3,4,,11,2,,3,
Time Spent on Fire - Most in Game,78,15,,,,,30,,,,21,,,17,36,,,,78,,,,,21,,,,,,,,23,31,,28,28,74,,,,
Melee Final Blows - Most in Game,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
