,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,emre,freja,genji,junkrat,lucio,mei,mercy,moira,reaper,reinhardt,roadhog,sigma,soldier-76,sombra,tracer,widowmaker,wrecking-ball,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,41,12,28,41,8,20,21,16,39,16,5,17,,,5,3,27,30,19,17,16,24,,7,15,15,
Final Blows - Most in Game,18,4,15,17,3,11,8,11,16,8,,10,,,2,,9,17,14,6,6,10,,4,11,6,
All Damage Done - Most in Game,18661,4994,12739,14568,6112,18661,5039,7590,16884,11621,8431,8843,482,525,2554,2318,7995,10533,5634,14412,12259,14413,223,2738,5411,7447,1053
Healing Done - Most in Game,16149,6883,502,,4854,173,6012,,811,540,,,,185,225,16149,6373,1525,,5005,,2256,,,,,637
Defensive Assists - Most in Game,32,16,,,11,,,,,,,,,,,24,10,,,,,4,,,,,2
Offensive Assists - Most in Game,12,11,,,3,,,,,,,,,,4,12,,,,5,,,,,,,2
Objective Kills - Most in Game,34,5,8,17,5,5,5,8,34,10,2,9,,,2,,11,15,9,7,7,11,,3,6,12,
Objective Time - Most in Game,316,128,168,194,44,6,77,40,288,192,121,108,3,9,126,133,147,316,46,99,71,161,1,19,9,114,
Multikill - Best,5,3,5,3,,3,,,4,,,,,,,,3,4,,,,3,,,,,
Solo Kills - Most in Game,18,,4,2,,2,,4,7,,,,,,,,4,3,,,,4,,,5,,
Time Spent on Fire - Most in Game,64,,53,64,,35,,,38,15,15,,,,,,,61,,,,31,,,15,,
Melee Final Blow - Most in Game,1,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,
Environmental Kill - Most in Game,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,21,8,15,11,4,12,5,10,21,3,2,6,,,2,1,15,14,9,10,12,11,1,4,13,11,1
Hero Damage Done - Most in Game,14141,3339,8918,14141,4787,12120,4539,7041,9156,11621,6154,6925,120,425,2320,1535,7670,9539,4883,6227,6697,8982,218,1519,3684,5318,717
Barrier Damage Done - Most in Game,10426,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,7,,,7,,,,,4,,,,,,,,,,,,,,,,,,
Objective Contest Time - Most in Game,107,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,7,,,,,,,,,,,,,,,,,,,,,,,,7,,
Hero Damage Done - Avg per 10 Min,5515,2679,7328,8341,3992,12109,3486,7624,5441,11285,7989,4680,1067,1917,3372,288,4913,7293,8392,5224,7634,7507,2022,3471,3853,5887,3015
Deaths - Avg per 10 Min,7.36,9.14,9.54,9.58,7.05,7.25,7.21,8.76,5.82,7.77,9.23,11.77,17.79,22.55,12.34,8.33,8.55,9.01,1.72,4.43,2.35,8.8,9.29,9.96,8.05,7.38,8.41
Assists - Avg per 10 min,0.61,,,3.55,,,,,3.82,,,,,,,,,,,,,0.83,,,,,
Eliminations - Avg per 10 Min,17.64,7.66,15.92,15.93,6.5,19.08,16.58,14.95,21.76,15.54,5.87,12.75,,,7.05,0.73,17.94,20.6,32.65,17.7,18.77,18.29,9.29,15.93,12.49,14.77,4.2
Healing Done - Avg per 10 Min,1205,5821,112,,6405,134,5396,,12.04,524,,,,833,339,8136,4930,1134,,4628,,1096,,,,,2677
Final Blows - Avg per 10 Min,6.99,2.16,6.88,7.12,2.17,10.3,5.77,8.76,7.77,7.77,0.84,5.56,,,3.53,0.07,5.17,10.14,24.06,4.98,4.69,8.64,,4.98,9.41,5.54,4.2
Time Spent on Fire - Avg per 10 Min,16,,73,65,,152,,,2,79,13,,,,,,,45,,,,16,,,1,,
Objective Contest Time - Avg per 10 Min,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.53,0.1,1.08,1.17,0.54,2.29,,2.58,1.93,,,0.33,,,,,0.84,1.2,1.72,0.55,,2.08,,1.0,3.89,,
Objective Kills - Avg per 10 Min,6.96,3.54,4.63,6.09,3.79,5.34,3.61,8.76,9.07,9.71,2.52,5.23,,,2.65,0.2,8.23,7.62,15.47,6.64,5.87,6.94,,4.98,2.9,11.08,
Objective Time - Avg per 10 Min,85,52,61,87,42,7,67,33,108,186,105,62,26,41,113,58,87,85,79,88,92,77,13,25,4,111,
Time Played,146364,6107,14399,4634,1107,1572,832,1164,69968,618,715,1835,67,133,681,9000,5684,9526,349,1084,1023,7776,65,603,6630,650,143
Games Played,328,13,32,9,2,3,2,2,159,,1,3,0,0,2,19,13,20,1,2,3,17,0,1,19,2,0
Games Won,160,7,14,4,,2,,,78,,0,,,,0,7,7,12,1,2,2,11,0,1,5,,
Games Lost,168,6,17,5,1,,1,1,80,0,,3,0,0,1,12,7,8,0,0,1,6,0,0,14,,0
Hero Wins,27,,14,3,,2,,,,,0,,,,,,,5,,,,2,,,,,
Environmental Kills,3,,,,,,,,3,,,,,,,,,,,,,,,,,,
Melee Final Blows,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Spent on Fire,3891,,1743,501,,399,,,216,82,16,,,,,,,717,,,,203,,,15,,
Multikills,60,,18,4,,,,,22,,,,,,,,2,8,,,,4,,,,,
Objective Time,20791,533,1469,675,77,17,92,65,12625,192,125,189,3,9,129,868,822,1351,46,159,157,1000,1,25,43,120,
Eliminations,4304,78,382,123,12,50,23,29,2537,16,7,39,,,8,11,170,327,19,32,32,237,,16,138,16,
Hero Damage Done,1345282,27267,175867,64421,7364,31732,4834,14789,634506,11621,9519,14317,120,425,3824,4327,46545,115790,4883,9442,13013,97295,218,3486,42580,6379,717
Final Blows,1704,22,165,55,4,27,8,17,906,8,,17,,,4,,49,161,14,9,8,112,,5,104,6,
Deaths,1796,93,229,74,13,19,10,17,679,8,11,36,2,5,14,125,81,143,,8,4,114,,10,89,8,2
Damage Done,1345282,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1699,36,111,47,7,14,5,17,1058,10,3,16,,,3,3,78,121,9,12,10,90,,5,32,12,
Objective Contest Time,1710,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,374,,26,9,,6,,5,225,,,,,,,,8,19,,,,27,,,43,,
of Match on Fire,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,46,,,,,,,,,,,,,,,,,,,,,,,,46,,
Defensive Assists,432,89,,,19,,38,,,,,,,,,215,48,,,,,21,,,,,2
Offensive Assists,160,54,,,3,,6,,,,,,,,5,78,,,,10,,,,,,,2
Healing Done,294063,59244,2696,,11816,352,7484,,1404,540,,,,185,384,122037,46705,18004,,8366,,14210,,,,,637
Assists,28,,,19,,,,,7,,,,,,,,,,,,,2,,,,,
Cards,97,,,,,,,,75,,,,,,,6,4,2,,,,5,,,,,
Scoped Accuracy - Best in Game,,80,,44,,,,,,27,,,,,,,,,,,,,,,63,,
Self Healing,,7457,,,2682,173,1484,,,279,,,,148,384,18242,14156,17658,,8366,,9033,,356,,,
Self Healing - Most in Game,,1614,,,1205,173,,,,,,,,148,225,2487,1623,1525,,5005,,1242,,193,,,
Enemies Slept,,34,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,18,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,48,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,36,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified,,3269,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,578,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,45,,39,,,,,,27,,,,,,,,,,,,,,,37,,
Self Healing - Avg per 10 Min,,733,,,1454,65.87,1070,,,271,,,,669,339,1216,1494,1112,,4628,,697,,354,,,
Healing Amplified - Avg per 10 Min,,321,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills - Avg per 10 Min,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,41,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,8,15,11,4,12,5,10,21,3,2,6,,,2,,15,14,9,10,12,11,,4,13,11,
All Damage Done - Most in Life,,1942,6119,4005,1937,10971,1249,3327,8010,2828,3095,2860,362,220,1171,1092,3052,6886,2906,6792,12259,4543,223,1396,2798,4057,597
Weapon Accuracy - Best in Game,,45,75,46,34,31,,50,33,29,42,25,11,33,60,60,,30,,18,,46,20,40,63,25,12
Solo Kill - Most in Game,,1,,,1,,,,,,,1,,,,,,,1,1,,,,1,,,
Hero Damage Done - Most in Life,,1248,4289,3193,1070,6734,1109,3327,5225,2828,2086,2304,120,120,642,460,2685,4987,2305,2219,6697,3188,218,991,2267,2940,597
All Damage Done - Avg per 10 Min,,4322,8854,9934,6413,20484,3947,9453,9035,11285,10219,6235,4287,2368,5212,416,5677,9189,9683,11324,15360,10087,2074,4906,5035,8401,4428
Eliminations per Life,,0.84,1.67,1.66,0.92,2.63,2.3,1.71,3.74,2,0.64,1.08,,,0.57,0.09,2.1,2.29,19,4,8,2.08,,1.6,1.55,2,0.5
Win Percentage,,52,45,45,43,69,61,41,49,100,27,,,,10,38,50,60,100,88,73,65,100,63,28,50,
Solo Kill,,1,,,1,,,,,,,1,,,,,,,1,1,,,,1,,,
All Damage Done,,43986,212478,76725,11831,53682,5474,18337,1053647,11621,12176,19072,482,525,5912,6240,53788,145886,5634,20467,26185,130724,223,4927,55640,9103,1053
Multikill,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Weapon Accuracy,,19,36,37,27,27,,40,19,29,34,23,12,33,33,27,,25,,21,,30,21,26,29,27,13
Offensive Assists - Avg per 10 Min,,5.31,,,1.63,,4.33,,,,,,,,4.41,5.2,,,1.72,5.53,,,9.29,,,,8.41
