,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,kiriko,lucio,mauga,mercy,mizuki,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Damage,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Support,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Open,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Eliminations - Most in Game,38,21,15,23,10,26,16,29,31,20,34,25,24,13,15,23,14,16,23,4,,9,3,11,38,13,28,18,4,32,18,20,8,,14,17,14,15,26,23,16,31,14
Final Blows - Most in Game,26,6,6,14,4,16,5,18,18,12,15,14,16,5,7,10,11,6,10,,,2,2,6,26,11,21,14,,17,5,10,4,,10,8,7,14,11,10,5,11,5
All Damage Done - Most in Game,23637,6176,9554,12100,2522,11197,5326,17708,19203,12568,12122,9934,16508,5407,5425,10016,10062,6749,7482,2822,60,4448,1578,5225,23637,6043,13710,11004,2686,8847,5607,16126,3018,1935,8131,6832,8152,4566,10097,16161,15192,10586,7081
Healing Done - Most in Game,12560,12560,,,4100,1068,8698,,287,887,577,424,141,5946,4424,2842,,8459,10464,740,2045,6990,1226,,,845,,6607,,,,1505,368,,,256,,,571,2041,7531,,3714
Defensive Assists - Most in Game,22,21,,,10,,22,,,,,,,,4,,,19,13,3,2,15,,,,,,,,,,3,,,,,,,,,,8,16
Offensive Assists - Most in Game,22,15,,,2,,,,,,,,,2,3,,,,14,3,4,,,5,,,7,5,,,,,4,,,,,,,,,7,18
Objective Kills - Most in Game,21,7,3,7,6,9,3,11,6,7,11,8,9,4,2,10,4,3,8,,,,,4,21,2,10,5,,7,9,8,5,,6,4,3,2,11,15,3,9,7
Objective Time - Most in Game,186,178,24,109,23,57,36,101,118,107,76,34,107,11,37,48,68,44,110,9,9,123,12,17,103,9,89,96,27,16,17,92,29,14,27,82,26,30,92,167,27,186,113
Multikill - Best,4,3,,,,3,,3,3,3,,3,3,,,3,4,,3,,,,,,4,,4,3,,3,3,3,,,3,,,,3,3,,,
Solo Kills - Most in Game,26,,2,5,,4,,4,5,4,5,3,4,,3,,4,,3,,,,,2,11,,5,2,,2,,,,,7,2,,6,3,4,,,
Time Spent on Fire - Most in Game,68,51,34,26,,,36,15,38,47,,28,46,37,68,45,22,26,35,20,,35,,,67,,39,56,15,36,30,,51,,,22,52,31,33,47,15,,28
Melee Final Blows - Most in Game,5,,,,,,,,5,2,,2,,,2,,,,5,,,,,,,,,2,,,,,,,2,,,,3,2,,2,
Environmental Kills - Most in Game,5,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,2,,,
Kill Streak - Best,32,10,6,18,10,12,4,9,18,10,32,8,12,7,7,8,12,7,15,2,,5,3,11,21,7,14,8,3,16,11,8,8,1,9,6,8,15,19,8,10,10,9
Hero Damage Done - Most in Game,19950,6176,8872,10251,1576,10212,5326,10442,16675,11038,8186,8457,16013,4857,4077,9122,5236,6696,6486,2574,60,4448,1460,2965,14398,5215,11119,10158,2233,8019,5340,8786,2730,1795,6828,5454,7334,4350,7827,11149,9505,7075,5570
Barrier Damage Done - Most in Game,9239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,20,17,,4,,,20,,7,10,,,3,5,4,7,,17,17,3,,14,,,4,,3,2,2,,3,,4,,,5,2,2,,8,15,3,12
Objective Contest Time - Most in Game,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Hero Damage Done - Avg per 10 Min,7202,2537,8560,9155,3533,9877,3450,8155,10310,7687,8549,8308,9109,5889,4778,10413,7969,5654,4418,9419,132,4946,4187,6774,9893,13277,9342,7717,6567,11909,8079,8335,5712,17745,8849,6942,12377,5979,7719,7109,6684,6732,5240
Deaths - Avg per 10 Min,8.2,6.24,8.68,6.97,11.02,9.03,9.57,10.0,5.19,9.7,7.09,8.91,7.8,8.55,8.34,7.14,7.79,5.68,8.35,15.09,13.24,6.8,8.6,6.58,8.83,12.73,8.92,7.42,9.35,,6.38,11.66,7.89,19.77,11.29,11.12,7.67,9.4,7.69,8.21,7.78,6.92,8.05
Eliminations - Avg per 10 Min,17.93,10.94,14.47,19.01,13.09,27.66,10.64,20.79,23.19,16.85,24.36,22.92,16.67,14.24,14.75,26.78,17.92,14.21,11.8,15.09,,11.55,8.6,18.65,24.49,33.1,20.39,16.43,10.52,47.52,26.33,17.88,11.83,9.89,19.08,21.44,21.73,15.95,23.23,12.9,11.38,21.21,16.09
Assists - Avg per 10 min,6.01,15.65,,3.94,,2.44,13.55,,6.28,4.95,,,1.81,4.75,3.21,5.95,,10.8,8.44,6.47,10.39,19.03,3.28,,3.21,,1.87,2.16,5.65,,2.39,,5.23,,,4.76,3.84,1.19,1.77,3.64,9.58,7.64,12.22
Healing Done - Avg per 10 Min,1987,7705,,,6049,1042,5516,,43.86,393,75.64,195,10.07,6987,4397,2992,,5567,4059,1758,6735,8554,3516,,,2152,,4483,,,,1210,590,,,337,,,89.59,446,5278,,3911
Final Blows - Avg per 10 Min,9.04,2.35,5.79,10.14,4.13,15.24,3.9,12.76,11.29,9.24,13.41,11.97,11.09,6.65,5.13,11.9,12.46,6.25,3.34,2.16,,2.72,5.73,5.48,15.66,28.0,11.58,7.6,2.34,25.25,6.38,7.0,7.1,,11.29,10.32,11.51,12.76,9.1,5.01,3.59,7.14,4.78
Time Spent on Fire - Avg per 10 Min,30,13,85,35,,,46,11,29,52,,53,56,69,77,102,38,48,38,83,,86,,,17,,23,36,19,239,40,,56,,,78,183,36,27,33,67,7,35
Objective Contest Time - Avg per 10 Min,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.98,0.29,1.93,2.53,,2.82,0.71,2.99,3.66,2.41,2.84,2.29,2.5,,1.28,0.6,3.9,0.57,0.68,,,0.68,2.87,1.65,3.93,2.55,1.16,0.71,,2.97,1.6,0.39,2.37,,5.06,2.38,2.56,6.74,0.78,1.07,0.6,0.45,
Objective Kills - Avg per 10 Min,5.14,3.83,2.89,6.13,7.58,9.6,2.13,6.54,3.81,3.8,5.16,6.37,4.51,3.8,1.28,9.52,6.23,3.41,2.81,4.31,,,,4.94,7.99,5.09,5.98,3.53,1.17,10.4,7.18,7.0,6.31,9.89,7.01,5.56,5.11,1.42,5.65,4.8,2.4,8.48,6.03
Objective Time - Avg per 10 Min,48,56,23,48,34,50,36,30,79,59,40,38,35,11,27,50,87,46,45,31,20,105,35,16,34,23,59,51,43,24,14,51,46,136,40,80,47,17,64,83,27,88,68
Time Played,148730,18647,622,2840,871,1063,1692,7620,3933,7729,4655,2356,8384,632,1871,1008,770,1056,15817,278,272,883,209,1094,24256,236,10827,3395,513,404,752,1544,761,61,1541,756,469,3385,3823,5629,1002,2688,2387
Games Played,332,45,,5,2,2,3,17,10,15,12,4,19,1,4,2,2,2,32,0,1,2,0,3,59,0,26,6,2,,2,4,2,0,3,1,,9,9,10,1,5,5
Games Won,184,32,,3,1,2,1,8,3,9,6,2,10,,,2,1,1,16,0,0,1,0,1,34,0,15,2,0,,2,1,0,,0,0,,6,7,7,,4,2
Games Lost,148,14,0,3,1,0,2,9,7,6,6,2,9,1,4,0,0,,16,0,0,,0,2,25,0,11,4,2,0,0,3,1,0,3,,,3,2,3,1,1,3
Hero Wins,60,6,,1,,,,1,1,7,,1,5,,,2,0,1,14,0,,1,,,3,,4,,0,,2,,0,,0,0,,3,1,3,,1,
Objective Time,11826,1726,24,229,49,88,101,375,517,758,306,150,495,11,85,85,111,81,1195,14,9,154,12,30,1361,9,1058,288,37,16,18,130,58,14,103,101,36,95,410,776,45,394,272
Eliminations,4444,340,15,90,19,49,30,264,152,217,189,90,233,15,46,45,23,25,311,7,,17,3,34,990,13,368,93,9,32,33,46,15,,49,27,17,90,148,121,19,95,64
Environmental Kills,51,,,,,,,,,,,,,,,,,,17,,,,,,13,,8,4,,,,,,,,,,,,4,,,
Hero Damage Done,1785132,78842,8872,43340,5129,17499,9730,103573,67576,99019,66329,32621,127285,6201,14900,17497,10230,9951,116458,4370,60,7279,1460,12350,399950,5215,168572,43672,5618,8019,10124,21443,7242,1795,22727,8741,9682,33731,49183,66686,11161,30156,20845
Final Blows,2242,73,6,48,6,27,11,162,74,119,104,47,155,7,16,20,16,11,88,,,4,2,10,633,11,209,43,2,17,8,18,9,,29,13,9,72,58,47,6,32,19
Deaths,2032,194,9,33,16,16,27,127,34,125,55,35,109,9,26,12,10,10,220,7,6,10,3,12,357,5,161,42,8,,8,30,10,2,29,14,6,53,49,77,13,31,32
Damage Done,1785132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1274,119,3,29,11,17,6,83,25,49,40,25,63,4,4,16,8,6,74,2,,,,9,323,2,108,20,,7,9,18,8,,18,7,4,8,36,45,4,38,24
Time Spent on Fire,7387,391,88,166,,,128,143,193,675,,208,779,73,242,171,49,85,1006,38,,127,,,694,,418,204,16,161,50,,71,,,98,143,202,174,312,111,30,140
Melee Final Blows,89,2,,2,,,,5,11,7,2,6,,,5,2,,,15,,,,,,2,,,6,,,,,2,,4,,,,6,3,,3,
Objective Contest Time,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,490,9,2,12,,5,2,38,24,31,22,9,35,,4,,5,,18,,,,,3,159,,21,4,,2,2,,3,,13,3,2,38,5,10,,2,
Multikills,44,,,,,,,2,,,,,,,,2,,,,,,,,,18,,6,,,,,,,,,,,,2,,,,
of Match on Fire,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,29,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
Defensive Assists,739,382,,,17,,40,,,,,,,,8,,,21,122,3,2,29,,,,,,,,,,6,,,,,,,,,,35,73
Offensive Assists,702,310,,,4,,13,,,,,,,2,4,,,2,186,3,5,,,11,,,72,22,2,,,,7,,,,,,,,,13,46
Healing Done,492657,239451,,,8781,1846,15556,,287,5056,587,764,141,7357,13712,5027,,9798,106992,816,3051,12587,1226,,,845,,8172,,,,3113,748,,,424,,,571,4181,8815,,15558
