,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Open,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5
Eliminations - Most in Game,37,28,4,21,5,21,3,19,37,24,24,4,25,22,11,24,,,29,,15,23,7,11,30,23,4,9,,5,15,16,28,29,30,21,15,,18,11,22,3,2,20,3,26,20
Final Blows - Most in Game,18,11,,7,,10,,10,16,12,15,,17,9,3,13,,,14,,5,11,,5,12,12,2,4,,,6,10,18,16,17,11,9,,6,4,9,,2,9,,13,6
All Damage Done - Most in Game,40012,10565,2268,9977,4830,9615,1260,14231,25630,31969,8883,3076,12575,14841,6336,19933,848,,18561,1441,5043,13402,1071,4136,14763,6671,2972,4544,,7111,6006,13709,14831,40012,26280,10434,12771,125,8384,5112,12161,3008,2893,10289,4901,23599,10610
Healing Done - Most in Game,12462,8014,98,,1886,760,1240,147,2420,3767,1904,,655,191,149,1958,,,4332,,3163,6415,1663,4827,1067,10232,2238,171,,13,829,,8911,,182,,1751,,,225,75,38,,2436,344,,6219
Defensive Assists - Most in Game,28,13,,,3,,6,,,,,,,,,,,,,,,23,6,7,5,28,4,,,,,,3,,,,3,,,,,,,,,6,21
Offensive Assists - Most in Game,21,10,,,,,,,,,,,,,,,,,,,,6,,5,14,,,,,2,,4,9,,,,,,,,,,,,,6,10
Objective Kills - Most in Game,18,16,3,6,3,6,2,5,16,11,8,,10,6,4,12,,,18,,8,13,4,6,14,12,,6,,2,3,5,8,15,9,6,5,,6,4,7,,,9,3,11,4
Objective Time - Most in Game,421,95,12,19,27,14,49,51,134,421,135,10,54,65,48,122,,,184,,19,56,14,69,74,111,1,30,,54,6,142,123,302,43,25,69,,14,29,46,9,7,131,38,149,26
Multikill - Best,5,3,3,,,4,,3,4,4,3,,3,3,,4,,,4,,,,,,3,4,,,,,,4,4,5,4,,3,,,,3,,,3,,4,
Solo Kills - Most in Game,18,2,,2,,,,2,5,,3,,6,,,,,,2,,,2,,,,2,,,,,,4,2,2,5,3,2,,,,,,,3,,,3
Time Spent on Fire - Most in Game,95,51,15,34,15,29,8,33,37,55,68,,48,51,42,56,,,50,,15,62,,22,42,41,20,25,,17,16,40,95,70,37,33,46,,36,31,54,,,50,20,48,29
Melee Final Blows - Most in Game,6,,,,,,,,2,,2,,,,,2,,,,,,2,,,,4,,,,,,,6,5,2,2,,,,,,,,2,,,
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Kill Streak - Best,24,13,4,11,3,12,2,7,17,12,17,2,15,12,6,8,1,,10,1,11,14,4,4,16,13,3,9,,5,5,7,20,21,18,8,9,1,6,6,9,2,2,16,3,24,7
Hero Damage Done - Most in Game,17187,9762,1929,8365,2938,6204,1260,10413,13570,16494,7911,1742,7451,10884,4985,8974,848,,14704,1216,3616,10882,1071,4136,13836,6671,2730,4544,,7111,4624,11074,11830,17187,15504,8250,9249,125,6594,4595,8058,3008,2893,10262,2248,14265,8822
