,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Support,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Open,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5
Eliminations - Most in Game,46,22,46,34,40,28,20,30,45,39,31,15,30,21,33,24,21,24,28,23,19,12,38,32,23,18,18,28,30,41,16,34,33,37,30,21,36,36,34,33,30,31,34,25,26,37,35,16,38,24
Final Blows - Most in Game,33,8,31,24,19,17,7,20,23,30,20,9,17,13,22,13,8,16,19,7,7,5,11,14,12,8,9,12,9,33,10,23,21,23,16,12,23,18,12,18,13,17,17,14,21,17,17,9,22,17
All Damage Done - Most in Game,32206,7129,20380,13967,23834,15444,5806,17354,23691,19505,20233,13604,12187,20998,18751,10589,6401,15298,16946,7604,8927,4402,10440,18669,26859,5155,6497,9540,16799,28725,15395,15291,17439,17389,20220,16234,20776,18022,12082,10972,16506,19010,14021,14408,11245,13489,17558,9213,15355,14210
Healing Done - Most in Game,16780,14316,75,,12337,2522,11425,,398,1654,909,,327,1314,,11614,6520,4056,,10054,7574,9796,16780,3640,906,9428,10901,8515,,,602,1886,,8465,,,,2030,939,149,,69,312,,12,1059,300,8584,,7888
Defensive Assists - Most in Game,39,20,,,29,,9,,,,,,,,,,12,,,,17,10,23,16,,23,24,16,,,,,,2,,,,5,,,,,,,,,,,22,28
Offensive Assists - Most in Game,22,17,,,5,,,,,,,,,,,3,4,,3,,7,,22,13,4,20,,,11,,4,,8,12,,,,,11,,,,,,,,,,7,12
