,all-heroes,ana,anran,ashe,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,illari,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2,diamond 2
Open,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Eliminations - Most in Game,54,17,22,22,38,13,26,54,11,14,23,14,23,14,18,17,30,26,31,31,35,7,33,8,12,13,27,33,22,30,34,35,9,2,38,
Final Blows - Most in Game,29,9,12,9,20,6,16,29,6,7,13,11,11,8,9,8,13,11,15,22,19,5,17,4,6,5,16,15,14,12,13,24,3,,18,
All Damage Done - Most in Game,28798,4270,7123,15741,15633,4921,9416,20018,3350,7343,7888,6364,9791,7178,5044,3764,8691,5900,8412,18893,14734,8887,16552,4985,2807,8143,14500,8288,6655,8990,11280,12946,4077,1046,28798,1184
Healing Done - Most in Game,20538,7494,312,,2727,5103,,33,,88,77,,11631,,15169,11362,1847,20538,14837,,,,2249,,2455,,2667,6454,,,,,,,,306
Defensive Assists - Most in Game,38,19,,,,,,,,,,,,,26,14,,38,27,,,,,,,,8,,,,,,,,14,
Offensive Assists - Most in Game,17,13,,,,,,,,,,,5,2,11,,13,17,,9,,,,,5,,,13,,,,,,,10,
Objective Kills - Most in Game,31,8,12,8,24,4,12,31,3,7,9,8,11,10,11,9,23,16,19,16,21,3,18,3,3,6,14,19,17,13,21,17,7,,22,
Objective Time - Most in Game,482,207,91,92,165,187,142,482,27,23,237,112,177,131,154,133,266,294,218,218,149,99,137,46,38,18,257,194,102,48,267,236,45,7,308,5
Multikill - Best,5,,,3,4,,3,5,,,3,,4,3,,,4,3,4,4,3,,4,,,,3,3,3,3,4,3,,,4,
Solo Kills - Most in Game,29,3,6,,5,,8,13,,,8,6,3,4,2,2,6,4,10,3,13,,6,,,,7,5,11,5,6,14,,,,
Time Spent on Fire - Most in Game,76,15,23,30,,,,60,,,,,56,,15,,21,67,53,63,39,35,50,,,,46,,,,45,54,,,76,
Melee Final Blows - Most in Game,4,,,,,,,3,,,3,,,,,,2,2,,3,,,,,,,2,2,,,2,4,,,,
Environmental Kills - Most in Game,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Kill Streak - Best,33,10,7,10,10,5,9,33,5,7,16,5,9,8,10,10,19,14,20,24,18,7,21,8,7,6,15,19,10,13,19,25,6,2,16,1
