,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,tracer,vendetta,widowmaker,winston,wuyang,zarya,zenyatta
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,47,23,30,26,20,15,23,41,29,30,19,27,30,6,37,26,29,10,22,2,23,32,15,,12,6,24,25,21,15,29,28,6,8,27,17,39,22,25,22,27,35,24,22,13,28,28
Final Blows - Most in Game,34,10,17,14,11,11,8,26,15,15,10,17,15,3,23,19,15,2,15,2,11,11,6,,5,,11,6,13,7,21,20,3,3,17,10,22,16,14,12,19,26,19,10,5,18,15
All Damage Done - Most in Game,30126,10412,11286,15666,6424,8173,7476,20488,14063,24919,9020,19991,19601,4527,17185,15652,12069,1360,11504,1800,7940,12602,4679,783,18604,1025,6425,5848,16590,7319,15279,10843,2668,5107,19925,15096,20493,12358,7813,8351,11482,13653,8112,11859,17113,16006,12593
Healing Done - Most in Game,19499,13280,652,,5044,11,11570,786,1985,3703,441,427,965,,514,,7871,4639,3091,,10423,19499,5769,177,913,12699,7991,10708,669,,962,2141,,2437,,309,,1416,528,324,148,536,,764,7176,,7404
Defensive Assists - Most in Game,48,29,,,13,,33,,,,,,,,,,,6,,,,48,7,,,29,24,23,,,,,,,,,,4,,,,,,,,7,28
Offensive Assists - Most in Game,21,13,,,4,,,,,,,,,,,,6,4,,,,15,12,,5,16,,,5,,5,,2,2,,,,,6,,,,,,,7,20
