,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Damage,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5
Support,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4,grandmaster 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,47,32,29,8,11,25,42,30,43,5,,29,13,26,47,14,20,20,38,5,23,,24,13,7,8,14,28,33,18,34,30,37,30,30,32,14,10,8,29,24,10,36,25,31,25,6
Final Blows - Most in Game,34,13,18,6,9,12,25,18,16,3,,17,9,16,21,13,11,10,22,3,16,,13,10,2,3,4,17,23,13,21,21,28,19,21,18,11,4,6,19,14,7,30,15,25,14,2
All Damage Done - Most in Game,25820,7482,13290,4032,13793,7993,17064,13435,20952,3297,1403,25820,9173,15054,24925,10548,10656,6594,20207,6017,10244,,8029,8287,5451,1121,4479,14562,20216,6205,15843,16241,15008,18819,15298,13920,3393,3631,6194,10732,14428,9427,14258,16157,22156,10036,1793
Healing Done - Most in Game,14724,7057,,3601,,11795,,2161,1826,643,,815,130,694,190,,6974,4313,3260,,10766,247,14724,1498,380,6942,5749,,,271,3211,,6208,,,1744,150,11,,43,569,75,,2561,3021,,1146
Defensive Assists - Most in Game,47,18,,7,,47,,,,,,,,,,,,3,,,19,,20,2,,16,11,,,,,,2,,,6,,,,,,,,,,5,4
Offensive Assists - Most in Game,14,11,,,,,,,,,,,,,,,5,8,,,7,,12,4,4,,,4,,,,5,7,,,,3,,,,,,,,,2,3
Objective Kills - Most in Game,24,16,17,7,6,7,22,5,14,3,,12,2,6,24,5,8,3,18,2,4,,14,10,2,4,5,15,14,9,17,12,12,10,13,18,7,8,,11,7,2,15,8,13,11,5
Objective Time - Most in Game,268,30,152,58,59,184,192,140,86,56,26,23,49,84,167,100,121,53,157,,30,,268,105,22,40,147,149,65,30,122,156,171,33,117,184,21,26,24,158,85,66,139,107,150,64,40
Multikill - Best,8,,3,,,5,3,8,3,,,3,,3,,,3,3,5,,,,3,,,,,3,3,,4,5,5,3,4,3,3,3,,4,5,,4,4,3,,
Solo Kills - Most in Game,34,2,7,,4,2,6,4,,,,5,,6,,4,4,6,4,,4,,5,,,,,,9,,7,6,7,5,7,6,2,,3,6,4,,14,7,12,3,
Time Spent on Fire - Most in Game,126,29,59,27,41,50,59,46,46,27,,49,25,44,59,,116,37,63,15,36,,41,36,,,27,37,83,33,58,68,75,47,45,44,15,15,20,77,46,22,77,69,126,37,22
Melee Final Blows - Most in Game,5,,,,,,,3,,,,,,2,,,,5,4,,2,,4,,,,,,2,,,,3,,,,,,,3,,,,3,3,,
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,34,20,20,4,7,12,18,15,17,4,1,9,8,10,17,7,17,7,26,2,8,,20,13,5,5,9,14,20,9,34,13,23,17,16,15,8,6,2,21,11,4,23,25,14,15,6
