,all-heroes,ana,ashe,baptiste,brigitte,cassidy,dva,doomfist,echo,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Eliminations - Most in Game,51,39,46,22,17,32,57,9,36,14,20,31,38,31,39,27,34,32,24,24,29,40,30,11,40,30,46,28,58,26,30,33,10,41,27,38,32,,44,14,34,28,43,20,9,33,13
Final Blows - Most in Game,35,20,24,10,7,23,33,6,27,9,10,25,20,16,24,20,19,19,13,10,22,20,19,4,18,19,33,18,27,13,14,11,7,35,21,23,12,,24,13,21,21,15,8,3,25,3
All Damage Done - Most in Game,34329,13993,18056,5976,6437,13067,31410,2368,20933,7760,13295,22723,11164,7305,20026,15019,13368,9951,5797,8663,12523,52789,6851,2783,10796,18007,19027,20251,23966,10917,16836,15082,5754,19175,18988,12219,13599,210,13599,5198,15321,9990,30544,6755,4343,16390,7252
Healing Done - Most in Game,21536,13483,,8642,8035,,4255,,1024,,,,13722,7358,3999,,13363,14950,13679,11623,1474,2257,22259,7886,11636,,,432,2671,,2635,,80,,2849,1412,2,,,151,,,4554,,8476,,6529
Defensive Assists - Most in Game,40,25,,24,17,,,,,,,,,15,,,,36,28,19,7,,45,23,25,,,,,,,,,,7,,,,,,,,,,,17,24
Offensive Assists - Most in Game,33,18,,5,,,,,,,,,5,3,,5,,14,,13,6,13,33,,,11,,3,,5,11,,,,,17,,,,,,,,,,7,8
Objective Kills - Most in Game,31,28,28,8,15,23,35,6,25,6,13,21,23,14,18,13,25,23,19,16,9,23,12,5,27,16,23,17,50,18,20,18,3,21,17,22,24,,19,8,16,12,30,15,5,25,5
Objective Time - Most in Game,541,336,294,232,280,160,520,51,309,81,186,210,259,117,311,99,247,325,188,347,280,380,547,157,273,250,150,207,420,235,526,483,59,205,156,168,255,,231,79,263,139,505,298,55,451,35
Multikill - Best,6,3,4,,,4,6,,5,,4,5,4,4,3,3,5,4,3,3,4,4,4,,4,3,4,5,5,6,3,4,,3,3,3,4,,3,,4,3,,3,,5,
Solo Kills - Most in Game,35,6,7,2,2,8,13,,8,2,3,8,5,9,2,8,7,6,3,5,,4,9,,6,2,10,3,10,3,4,3,,11,7,8,5,,8,2,6,9,3,2,,3,
Time Spent on Fire - Most in Game,173,95,98,45,46,,91,,90,40,,53,87,58,83,56,86,112,69,59,59,58,109,56,73,47,86,80,77,47,51,70,22,90,85,62,,,63,19,74,99,173,,37,92,30
Melee Final Blows - Most in Game,7,4,2,,,3,6,,3,,,,4,5,6,,3,4,4,5,,5,5,,3,2,,4,3,,2,2,,2,3,4,,,7,,2,,5,,,4,
Environmental Kills - Most in Game,3,,,,,,2,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,3,,,,
Kill Streak - Best,35,20,20,12,9,22,34,8,31,8,16,21,21,12,20,16,28,21,17,14,9,18,18,6,24,16,24,16,35,14,29,19,6,31,15,32,13,,19,11,21,17,23,11,5,26,6
