,all-heroes,anran,ashe,bastion,cassidy,echo,emre,freja,genji,hazard,hanzo,mauga,mei,orisa,ramattra,reinhardt,roadhog,sojourn,sombra,symmetra,torbjorn,tracer,vendetta,widowmaker,winston,wrecking-ball,zenyatta
Tank,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2,silver 2
Eliminations - Most in Game,38,17,22,20,25,36,10,20,17,7,18,,21,38,3,,12,20,,,34,26,21,24,9,3,6
Final Blows - Most in Game,19,5,12,10,12,19,8,12,6,2,11,,10,14,,,6,9,,,17,9,12,10,5,,6
All Damage Done - Most in Game,23260,7593,9708,14221,14017,11550,8273,13317,8040,8816,12182,1687,23260,19101,2986,1070,10565,8901,820,1185,14235,10881,7037,6423,3133,608,6328
Healing Done - Most in Game,5039,175,,456,342,,536,241,357,,,30,1372,,235,,2412,,,,,,150,,532,,5039
Defensive Assists - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
Offensive Assists - Most in Game,11,,,,,,,,,,,,11,7,,,4,,,,,,,,,,2
Objective Kills - Most in Game,14,8,10,10,13,10,6,11,11,,9,,10,10,,,7,8,,,14,14,6,9,3,,3
Objective Time - Most in Game,155,71,75,99,152,90,38,55,64,75,87,,155,122,28,,134,64,4,9,102,77,36,48,71,11,33
Multikill - Best,4,3,3,3,4,,,3,,,4,,,4,,,,,,,3,,3,,,,
Solo Kills - Most in Game,19,,4,,3,4,,4,,,4,,,2,,,3,2,,,,,,4,,,2
Time Spent on Fire - Most in Game,64,42,64,55,61,55,30,60,26,27,34,,45,54,,3,17,30,,,33,26,33,43,23,,10
Melee Final Blow - Most in Game,1,,1,,,,,1,,,,,,1,,,,,,,,,,1,1,,
Environmental Kill - Most in Game,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,
Kill Streak - Best,18,13,13,13,12,12,4,14,7,4,9,,11,16,3,1,6,11,,,18,11,8,13,9,3,3
Hero Damage Done - Most in Game,16900,4753,9046,7774,11537,10048,8273,12327,5520,6250,7561,1429,9511,16900,2484,950,7746,7520,719,824,12351,5762,6497,6395,2961,420,4938
Barrier Damage Done - Most in Game,6719,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,11,,5,5,3,,,,,,2,,11,7,,,4,3,,,,,4,5,3,,
Objective Contest Time - Most in Game,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,6,,,,,,,,,,2,,,,,,,,,,,,,6,,,
Hero Damage Done - Avg per 10 Min,8471,7170,9703,10174,8440,8103,9534,9687,5834,10528,8625,15947,8651,10628,9841,4273,5698,9127,7342,4010,10085,5725,6655,6033,6185,1214,4214
Deaths - Avg per 10 Min,6.5,4.18,6.36,6.66,6.96,6.41,9.22,7.17,5.09,3.37,6.37,11.16,5.48,5.77,7.92,8.99,5.57,7.54,,9.73,4.16,6.26,10.89,7.28,3.51,8.68,7.65
Eliminations - Avg per 10 Min,18.67,25.11,22.53,23.79,17.88,24.59,11.52,17.54,16.66,11.79,20.48,,19.6,19.83,11.88,4.5,9.98,18.24,,,25.85,17.53,17.7,20.37,14.93,8.68,6.75
Assists - Avg per 10 min,2.45,,3.85,2.85,2.16,,,0.21,,,2.08,,6.74,5.52,3.96,,3.7,1.7,,,0.46,,2.72,3.88,2.63,,
Healing Done - Avg per 10 Min,341,142,,338,55.97,,617,123,317,,,335,1148,,932,,2173,,,,,,110,,467,,3170
Final Blows - Avg per 10 Min,8.32,4.78,10.79,9.75,9.41,13.36,9.22,9.52,6.02,3.37,10.47,,6.74,6.78,3.96,,3.52,6.81,,,12.47,6.26,8.85,9.22,7.02,,4.05
Time Spent on Fire - Avg per 10 Min,97,99,117,114,102,122,98,96,85,65,107,,134,132,,14,28,75,,,131,79,52,84,94,,4
Objective Contest Time - Avg per 10 Min,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.15,,2.12,1.19,0.56,1.6,,1.6,0.46,1.68,3.64,,0.42,0.63,3.96,,1.17,0.97,,,0.46,0.63,,2.67,,2.89,1.35
Objective Kills - Avg per 10 Min,6.82,11.36,8.67,10.23,7.25,6.15,6.91,6.63,8.79,1.68,10.47,,6.53,5.65,,,3.52,4.86,,,10.62,9.39,4.77,6.79,4.39,2.89,2.25
Objective Time - Avg per 10 Min,59,123,57,43,63,57,44,37,61,127,44,,116,68,109,,56,43,38,45,89,68,33,36,102,32,21
Time Played,44862,1004,3115,2522,6376,2245,521,5611,1296,356,1318,54,2847,4780,151,133,2045,2467,59,123,1300,959,881,2474,683,207,1334
Games Played,101,2,8,6,15,5,1,13,2,1,3,0,6,8,0,0,4,5,0,0,3,2,3,6,1,,5
Games Won,54,,5,4,7,4,,8,2,,1,,4,4,,,2,1,,,2,1,1,4,1,,
Games Lost,47,1,3,1,7,1,1,5,0,1,3,0,2,4,0,0,2,4,0,0,0,1,1,2,1,,4
Hero Wins,51,,5,4,7,4,,8,2,,1,,4,4,,,,1,,,2,1,1,4,1,,
Objective Time,4429,206,297,183,665,212,38,350,133,75,96,,553,544,28,,189,177,4,9,193,109,48,148,116,11,46
Eliminations,1396,42,117,100,190,92,10,164,36,7,45,,93,158,3,,34,75,,,56,28,26,84,17,3,15
Environmental Kills,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Damage Done,633361,11995,50382,42767,89687,30317,8273,90579,12604,6250,18948,1429,41051,84677,2484,950,19420,37529,719,824,21845,9147,9774,24879,7044,420,9369
Final Blows,622,8,56,41,100,50,8,89,13,2,23,,32,54,,,12,28,,,27,10,13,38,8,,9
Deaths,486,7,33,28,74,24,8,67,11,2,14,,26,46,2,2,19,31,,2,9,10,16,30,4,3,17
Damage Done,633361,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,510,19,45,43,77,23,6,62,19,,23,,31,45,,,12,20,,,23,15,7,28,5,,5
Time Spent on Fire,7278,166,607,479,1084,457,85,896,183,38,235,,636,1054,,3,96,307,,,283,127,77,348,107,,10
Melee Final Blows,6,,2,,,,,,,,,,,,,,,,,,,,,,,,
Objective Contest Time,1784,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,86,,11,5,6,6,,15,,,8,,2,5,,,4,4,,,,,,11,,,3
Multikills,20,2,2,4,4,,,,,,2,,,2,,,,,,,,,2,,,,
of Match on Fire,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,21,,,,,,,,,,3,,,,,,,,,,,,,18,,,
Defensive Assists,5,,,,,,,,,,,,,,,,,,,,,,,,,,5
Offensive Assists,86,,,,,,,,,,,,32,44,,,6,,,,,,,,,,3
Healing Done,25483,238,,1423,595,,536,1148,684,,,30,5447,,235,,4006,,,,,,161,,532,,7049
Assists,173,,20,12,23,,,2,,,4,,32,44,,,4,7,,,,,4,16,3,,
Critical Hit Damage,,2534,,,,,,,,,,717,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,941,,,,,,,,,,717,,,,,,,,,,,,,,,
Enemies Ignited,,42,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,25.11,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,59,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,1515,,,,,,,,,,8000,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,13,13,13,12,12,4,14,7,4,9,,11,16,3,,6,11,,,18,11,8,13,9,3,3
All Damage Done - Most in Life,,3297,4244,6066,4819,3601,3754,4040,3669,4745,5410,1687,17041,8603,2170,660,4155,3737,820,461,6237,6352,2156,2594,2903,608,1802
Weapon Accuracy - Best in Game,,36,56,45,75,33,49,47,28,30,38,41,74,47,19,,35,36,26,16,32,40,,43,61,16,46
Critical Hits - Most in Game,,14,19,28,17,83,34,,10,,8,25,,140,17,,90,40,11,,12,91,12,28,,,6
Critical Hits - Most in Life,,9,12,11,8,39,16,,5,,4,25,,67,14,,46,23,11,,5,43,,11,,,2
Hero Damage Done - Most in Life,,2924,4244,5011,4060,3012,3754,3840,3005,3452,3617,1429,5022,7650,1791,660,2662,3479,719,300,6201,2848,1971,2320,2679,420,936
Obj Contest Time - Most in Game,,31,49,29,88,22,27,55,60,21,6,,20,122,3,,17,20,1,,50,77,26,13,17,,10
Obj Contest Time - Avg per 10 Min,,34,17,18,24,12,31,30,50,35,5,,16,46,14,,20,20,12,,33,56,26,4,33,,9
All Damage Done - Avg per 10 Min,,9285,10579,14272,9177,9124,9534,10593,8202,14851,10959,18820,24218,12221,11830,4812,6958,10861,8379,5769,12548,9239,7421,6535,6739,1759,5535
Critical Hits - Avg per 10 Min,,17.93,20.22,18.32,13.74,46.51,39.18,,9.26,,7.74,279,,69.66,67.34,,95.64,49.37,112,,11.08,95.77,14.3,17.95,,,5.85
Eliminations per Life,,6,3.55,3.57,2.57,3.83,1.25,2.45,3.27,3.5,3.21,,3.58,3.43,1.5,0.5,1.79,2.42,,,6.22,2.8,1.63,2.8,4.25,,0.88
Game Won,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Knockback Kills,,14,11,,,,,,,,,,,,,,2,,,,,,,,,,
Knockback Kills - Most in Game,,7,3,,,,,,,,,,,,,,,,,,,,,,,,
Hero Win,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback Kills - Avg per 10 Min,,8.37,2.12,,,,,,,,,,,,,4.5,0.59,,,,,,,,0.88,,
Win Percentage,,47,62,75,49,81,,60,88,,18,,68,51,,,49,14,,,81,59,55,70,56,,20
All Damage Done,,15534,54928,59994,97520,34135,8273,99053,17720,8816,24075,1687,114917,97373,2986,1070,23716,44660,820,1185,27179,14760,10899,26950,7675,608,12306
Critical Hits,,30,105,77,146,174,34,,20,,17,25,,555,17,,326,203,11,,24,153,,74,,,13
Obj Contest Time,,57,89,76,254,46,27,282,108,21,9,,77,363,3,,22,84,1,,72,90,38,18,37,,10
Critical Hit Accuracy,,10,18,3,12,9,12,,7,,10,13,,9,9,,14,8,18,,9,9,,12,,,8
Weapon Accuracy,,32,44,28,44,30,49,35,25,30,29,41,44,37,19,,26,30,26,16,28,33,,38,55,16,26
Scoped Critical Hits,,,82,,,,,,,,,,,,,,,,,,,,,25,,,
Scoped Critical Hits - Most in Game,,,3,,,,,,,,,,,,,,,,,,,,,4,,,
Scoped Accuracy - Best in Game,,,55,,,,42,,,,,,,,,,,,,,,,,61,,,
Dynamite Kills,,,31,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,15,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,15,,,,,,,,,,,,,,,,,,,,,12,,,
Long Range Final Blows,,,19,,14,4,,,,,8,,,,,,,6,,,,,,10,,,
Long Range Final Blows - Most in Game,,,4,,4,2,,,,,7,,,,,,,3,,,,,,4,,,
Scoped Accuracy,,,48,,,,42,,,,,,,,,,,,,,,,,53,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,2.89,,,,,,,,,,,,,,,,,,,,,2.91,,,
Long Range Final Blows - Avg per 10 Min,,,3.66,,1.32,1.07,,,,,4.16,,,,,,,1.46,,,,,,2.43,,,
Scoped Critical Hit Accuracy,,,21,,,,,,,,,,,,,,,,,,,,,18,,,
Dynamite Kills - Avg per 10 Min,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,15.79,,,,,,,,,,,,,,,,,,,,,6.06,,,
Coach Gun Kills - Avg per 10 Min,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Most in Game,,,3,,4,,2,,,,4,,,3,,,,,,,,,,6,,,2
Critical Hit Kills - Avg per 10 Min,,,3.27,0.71,1.88,0.8,2.3,,0.46,,3.12,,,1.38,,,0.93,0.49,,,0.92,,,3.64,,,1.83
Melee Final Blows - Avg per 10 Min,,,0.39,,,,,0.11,,,,,,0.13,,,,,,,,,,0.24,0.88,,
Critical Hit Kills,,,17,3,20,3,2,,,,6,,,11,,,,2,,,2,,,15,,,2
Self Healing - Most in Game,,,,456,,,,,,,,30,1288,,,,2412,,,,,997,,,,,376
Artillery Kills,,,,7,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,56,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,46,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills,,,,39,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Most in Game,,,,9,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Avg per 10 Min,,,,9.28,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,13.32,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,10.94,,,,,,,,,,,,,,,,,,,,,,,
Solo Kill - Most in Game,,,,1,,,,,1,1,,,1,,1,,,,,,1,1,,,,1,
Critical Hit Kill - Most in Game,,,,1,,1,,,1,,,,,,,,1,1,,,1,,,,,,
Deadeye Kills,,,,,23,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,36,,,,,,,,,,,,,,,,,,,,,,
