,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4,master 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,55,26,55,34,42,35,36,34,49,22,36,43,31,27,39,19,31,25,33,51,32,34,31,21,30,36,37,15,23,27,32,29,41,47,36,30,38,18,31,35,39,30,30,35,17,38,8,48,34,21,36,34
Final Blows - Most in Game,34,10,25,19,23,19,20,26,28,8,21,25,19,16,23,11,24,13,16,34,24,11,19,7,15,22,22,6,12,12,20,20,25,27,25,23,24,11,19,22,19,15,15,22,11,27,6,28,19,6,19,18
All Damage Done - Most in Game,50232,7806,19504,17447,12119,18856,10917,17748,20372,12851,15794,17157,24020,13043,14170,18492,16947,10888,8925,23784,18695,10857,10323,6060,9903,21398,50232,2777,10907,8880,16624,14350,20544,21736,24963,16877,19760,13151,25251,18855,17668,13771,20691,14619,6587,17841,2726,16666,19933,10381,17261,13381
Healing Done - Most in Game,21040,17476,916,,19405,1897,17891,668,962,2018,1593,886,1209,71,254,691,244,17313,13798,5501,,16324,17849,18083,16048,3725,1926,15573,15656,12980,462,,587,4246,,6492,9,,,2525,2421,378,,54,244,75,,1058,1976,9215,,11229
Defensive Assists - Most in Game,45,28,,,42,,42,,,,,,,,,,,,15,,,,39,40,19,20,,36,31,27,,,,,,4,,,,8,,,,,,,,,,,15,27
Offensive Assists - Most in Game,31,24,,,10,,,,,,,,,,,,,5,4,,7,,15,5,15,17,14,31,,,14,,6,,11,11,,,,,13,,,,,,,,,,6,21
Objective Kills - Most in Game,33,17,13,21,19,15,24,18,18,18,17,24,11,9,26,7,17,15,13,33,16,24,14,12,17,21,16,11,9,16,21,13,24,24,21,19,20,5,18,19,17,16,17,14,7,13,2,23,23,8,20,11
Objective Time - Most in Game,341,239,93,197,187,112,204,146,341,112,169,157,107,131,150,83,167,167,136,245,128,172,212,240,284,331,157,148,84,109,297,114,280,287,302,240,262,53,114,144,110,173,184,75,64,145,17,254,271,106,282,213
Multikill - Best,6,4,5,4,4,4,4,5,5,3,4,4,5,4,5,,3,4,5,4,4,4,4,4,3,6,5,3,4,4,4,5,4,5,5,3,4,4,4,4,4,3,4,4,,3,,4,5,4,4,3
