,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3,gold 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,42,20,21,24,24,25,37,27,30,24,34,24,20,18,27,33,27,22,10,38,28,19,18,14,25,29,17,6,8,31,42,21,32,24,37,40,29,,23,34,29,31,29,31,28,25,20,37,39,20,25,22
Final Blows - Most in Game,25,10,9,12,7,15,19,16,15,14,21,16,10,10,16,15,19,10,2,22,20,7,9,3,8,15,8,2,2,11,21,13,19,17,24,25,14,,10,20,13,18,17,14,15,14,12,19,19,5,12,14
All Damage Done - Most in Game,33419,8935,10281,14757,10919,22957,10523,15038,19890,30513,16345,13042,15353,13702,12034,32905,13473,7302,6096,20775,18564,6176,8867,3779,10190,16938,33419,1365,4565,11878,25724,13777,25412,11447,27339,21138,20264,1186,12789,15799,8824,12976,18707,10969,10541,10753,8762,14792,20554,8735,19329,12019
Healing Done - Most in Game,17646,17322,741,,15690,3460,12746,212,1121,4267,3218,390,1003,39,784,1143,374,13294,8787,5430,,16348,15829,12816,13192,4282,1504,14925,5358,12407,1002,,979,1997,,12589,,,,3194,835,243,2237,,415,,,2510,574,11812,,9495
Defensive Assists - Most in Game,41,33,,,25,,39,,,,,,,,,,,,6,,,,27,18,16,11,,22,11,24,,,,,,13,,,,8,,,,,,,,,,,15,26
Offensive Assists - Most in Game,42,22,,,4,,,,,,,,,,,,,4,2,,9,,11,,15,15,7,19,,,10,,7,,7,12,,,,,9,,,,,,,,,,5,16
Objective Kills - Most in Game,25,14,9,12,10,15,13,14,11,19,18,14,9,9,12,17,10,8,3,25,14,14,11,9,12,19,12,3,2,15,19,15,19,13,14,18,14,,10,15,9,18,21,15,7,11,6,14,18,13,20,10
Objective Time - Most in Game,531,284,120,233,156,223,363,236,251,224,235,154,45,136,144,245,169,180,97,416,258,172,212,217,237,323,174,144,31,179,408,121,262,147,334,434,371,14,79,112,95,151,189,123,102,99,97,230,274,150,347,171
Multikill - Best,7,4,4,4,,4,4,3,4,4,4,3,3,3,3,4,4,4,,4,4,3,3,,4,7,3,,,3,4,3,4,4,5,4,3,,4,4,4,3,4,3,4,3,,3,3,3,5,3
Solo Kills - Most in Game,25,2,3,6,2,4,3,8,6,2,7,3,2,5,7,3,7,3,,5,9,3,3,,2,4,4,,,4,5,5,5,7,7,7,5,,3,7,5,5,5,6,3,5,6,4,8,,2,7
Time Spent on Fire - Most in Game,121,80,41,95,61,87,95,69,62,82,76,48,19,66,52,70,85,49,33,94,117,66,66,64,89,107,119,59,34,66,121,87,73,96,105,86,108,,62,64,54,74,87,52,61,81,47,73,68,53,55,93
Melee Final Blows - Most in Game,6,,,2,,,,2,2,2,4,2,,,5,3,3,,,5,4,,2,,3,,,,,2,2,,2,2,,5,5,,,,,,2,3,,3,,4,3,,,3
Environmental Kills - Most in Game,6,,,2,,,2,,,,4,,,,,4,,,,,,,,,4,,,,,,,3,,,3,5,,,,,,,,,,,,,,,,
Kill Streak - Best,28,12,12,15,13,18,28,15,22,21,24,11,14,12,17,17,20,9,4,24,14,14,11,12,12,21,15,3,6,19,18,17,26,16,22,20,19,,13,16,13,14,14,19,18,14,10,20,19,8,16,16
Hero Damage Done - Most in Game,20160,7089,8429,12190,8213,13146,10523,12816,12098,13476,15283,11042,13186,10805,10412,16550,12900,7127,3065,17507,12912,4852,7967,3755,7428,16419,6748,1140,4278,10897,19244,10516,15084,8586,19157,16414,15744,997,11647,14071,7494,10215,13529,9572,9101,9190,8341,14514,15578,6507,12583,9670
Barrier Damage Done - Most in Game,10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,42,34,,9,22,6,31,5,16,3,10,32,,2,9,9,11,15,7,19,9,24,29,18,18,15,7,26,11,23,10,17,7,,7,15,7,,,20,9,17,9,3,6,3,10,7,11,10,11,25
Objective Contest Time - Most in Game,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,11,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
Hero Damage Done - Avg per 10 Min,6917,3007,7916,7990,3102,9740,4130,7368,8667,11862,8346,7097,8906,7335,6079,9688,7358,4414,2542,9760,7829,2939,2740,2614,4315,10924,6882,208,4860,6602,11530,8122,11151,7401,8910,8089,11220,4037,7760,8153,5412,7557,8800,5240,6995,7313,5411,8658,7848,4714,10233,5435
Deaths - Avg per 10 Min,6.12,5.87,7.66,6.05,5.74,6.82,6.93,7.64,4.88,4.81,6.6,7.48,6.13,6.72,7.25,6.02,6.91,5.31,6.16,5.36,6.97,5.36,5.89,6.35,7.18,6.15,5.26,6.13,8.08,6.06,5.65,7.35,5.84,7.05,6.13,5.31,4.79,12.15,7.22,6.83,6.84,7.0,5.63,6.81,7.11,7.53,6.19,5.88,5.83,6.62,5.34,6.68
Eliminations - Avg per 10 Min,13.69,8.28,17.33,13.82,8.18,17.77,11.98,14.87,19.8,19.71,16.05,15.67,15.47,12.22,13.94,16.56,14.5,10.05,6.6,18.45,13.83,11.05,7.06,8.08,11.14,18.55,14.05,1.22,8.82,17.79,17.78,14.96,16.9,18.21,15.03,15.44,16.41,,15.18,17.33,15.47,16.32,15.03,13.37,17.0,15.38,10.2,17.38,15.35,11.03,14.75,11.97
Assists - Avg per 10 min,6.69,11.52,,2.65,11.52,2.19,16.03,1.76,6.66,1.76,3.93,3.05,,0.41,0.17,3.62,5.33,7.6,3.52,7.35,2.29,11.07,14.43,10.05,8.31,8.14,5.08,15.12,10.29,11.82,3.58,3.0,2.87,,1.73,4.35,2.47,,,1.98,5.86,7.93,0.83,0.16,2.33,1.46,2.87,2.66,3.53,5.78,4.73,15.83
Healing Done - Avg per 10 Min,3383,7464,259,,8700,255,8291,7.79,91.33,3042,640,69.72,816,2.26,150,188,22.63,8262,7139,2404,,8620,8507,7957,6207,2127,1414,8344,6338,7976,164,,346,1412,,6481,,,,1369,307,77.8,48.86,,269,,,131,9.99,7706,,6002
