,all-heroes,ana,ashe,baptiste,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mercy,orisa,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2
Eliminations - Most in Game,51,20,40,3,5,31,43,26,24,37,2,31,19,11,4,14,4,27,12,,8,8,,22,46,15,25,44,22,35,37,3,25,27,34
Final Blows - Most in Game,31,10,27,2,2,18,26,16,20,17,2,26,7,7,2,5,,7,8,,4,5,,12,25,7,14,30,15,28,29,2,18,14,16
All Damage Done - Most in Game,26446,7971,20953,1122,3004,16354,22777,11717,16129,20778,11362,15211,7547,6078,1896,7378,1352,6260,8422,345,12071,4870,,13007,20218,6661,11463,26446,10727,14741,11702,779,11549,21417,12960
Healing Done - Most in Game,17059,12673,,8588,6404,,352,329,488,77,,,8587,805,,4097,1565,9699,1258,6608,,,,,5806,,,3251,1686,47,10,,,72,8939
Defensive Assists - Most in Game,31,31,,18,7,,,,,,,,,,,8,2,23,7,5,,,,,,,,7,,,,,,12,23
Offensive Assists - Most in Game,27,23,,2,,,,,,,,,6,,2,2,,27,7,4,6,,,7,16,,,,9,,,,,7,18
Objective Kills - Most in Game,20,9,12,,3,12,15,11,5,11,,11,8,3,,5,,9,4,,3,5,,7,19,8,6,11,11,6,12,,10,17,12
Objective Time - Most in Game,213,137,36,,21,36,213,136,35,63,78,102,104,18,,49,9,72,64,7,14,,,67,82,20,72,6,41,19,14,7,118,123,73
Multikill - Best,5,3,4,,,3,3,3,,3,,4,,3,,,,,,,,,,3,5,,,,,4,,,,3,3
Solo Kills - Most in Game,31,3,5,,,5,7,5,6,5,,6,,,,,,,,,,,,4,7,,3,4,2,12,9,,3,4,5
Time Spent on Fire - Most in Game,78,54,55,,0,42,,48,47,46,16,,20,46,,6,,,39,,,,,26,,,50,,34,50,55,,47,51,78
Melee Final Blows - Most in Game,7,2,,,,,4,7,2,3,,,,,,,,2,,,,,,,5,,,,,2,,,3,,2
Environmental Kills - Most in Game,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
